mode,L,alpha,c0,c_A,c_A2,max_abs_fit_resid,odd_diff_0p05,odd_diff_0p10
nonLDB_site_skew,4,0.5,-2.018410064644556e-07,-3.751479737534175e-09,0.0038419726784462913,9.600321785879372e-11,-1.8781092271624147e-10,-8.439644730211878e-10
nonLDB_site_skew,4,1.0,-8.605193121318112e-08,2.9002712471221104e-09,0.008759981994354788,9.745932647501398e-10,7.259491104766574e-10,3.620932563931211e-10
nonLDB_site_skew,5,0.5,-1.9363327165570004e-07,-3.3162161731936646e-10,0.004646293643563967,5.306989813644148e-10,-4.4067376294256236e-13,-8.268506743820594e-11
nonLDB_site_skew,5,1.0,-6.030554967409667e-08,5.875189133808245e-09,0.010547534413136102,1.1197341661684957e-09,1.2912816123102923e-09,8.231564770902391e-10
nonLDB_site_skew,6,0.5,-1.884980262711832e-07,9.014632365231257e-10,0.005256310032703585,1.7461745822512855e-09,9.022241650730455e-10,-2.2574627348790352e-10
nonLDB_site_skew,6,1.0,-4.2386697275030434e-08,5.064248008793126e-09,0.01191560380625461,4.954146576922034e-10,6.83343410069065e-13,1.2657203304119319e-09
nonLDB_site_skew,7,0.5,-1.8363938832858462e-07,8.304797171135303e-10,0.0057357805366531,6.843793722972712e-10,-4.1598819293632236e-10,4.1561402585411694e-10
nonLDB_site_skew,7,1.0,-2.7060755058147913e-08,2.1563291326132106e-09,0.013000731194381505,1.1787333569696422e-09,3.9811470207317583e-10,3.4002493225562813e-10
reversible_side,4,0.5,-2.0197324422255284e-07,-8.913776215075022e-08,4.349717373409606e-09,4.1511980852728173e-10,-9.572368206021534e-09,-1.749825643467668e-08
reversible_side,4,1.0,-8.635298195664756e-08,-1.3515597496583605e-07,1.3365366795437566e-07,7.737723888342837e-10,-1.2866109413959827e-08,-2.7355939034479046e-08
reversible_side,5,0.5,-1.945481965806508e-07,-1.0181085766238593e-07,6.609896883918923e-08,3.8990040300260626e-10,-1.0448585314128356e-08,-2.0228421758532198e-08
reversible_side,5,1.0,-6.14305919180444e-08,-1.3586233982560478e-07,7.960498961356617e-08,2.244776410116233e-09,-1.2186584144762055e-08,-2.787229288402015e-08
reversible_side,6,0.5,-1.8933255604444824e-07,-1.0602269690376174e-07,1.6324678012451263e-07,9.116448089862464e-10,-1.0614078525164408e-08,-2.1198634963358072e-08
reversible_side,6,1.0,-4.223234510333907e-08,-1.4081158765294455e-07,2.8176986105872955e-08,5.812201633924514e-10,-1.4552708338606262e-08,-2.7926542743932996e-08
reversible_side,7,0.5,-1.8445099509576157e-07,-1.0783940778060728e-07,1.3590026108779852e-07,5.896008489221869e-10,-9.817158856483987e-09,-2.2051272516909768e-08
reversible_side,7,1.0,-2.6386251970165206e-08,-1.4680803808290674e-07,-7.52792007145602e-08,2.1763994337089606e-09,-1.6562620749105515e-08,-2.842069914617392e-08
