mode,A,L,alpha,mixed_R2_over_G,additive_pred,interaction
reversible,0.1,4,0.5,0.0001373207334744997,0.00016241756940127416,-2.5096835926774475e-05
reversible,0.1,4,1.0,0.0003520617134395998,0.0003817539014154825,-2.969218797588269e-05
reversible,0.1,5,0.5,0.00015778980800273956,0.00018456025966862022,-2.6770451665880657e-05
reversible,0.1,5,1.0,0.0004071771024527493,0.00043817217232544614,-3.0995069872696845e-05
reversible,0.1,6,0.5,0.00017341258942860094,0.00020126671359665949,-2.7854124168058547e-05
reversible,0.1,6,1.0,0.0004499491146616741,0.00048159995662699906,-3.165084196532497e-05
reversible,0.1,7,0.5,0.00018578260771340283,0.00021438122398809156,-2.8598616274688737e-05
reversible,0.1,7,1.0,0.0004842889446403653,0.000516251561917036,-3.196261727667071e-05
reversible,-0.1,4,0.5,0.000189212359318347,0.00016243506765767357,2.677729166067344e-05
reversible,-0.1,4,1.0,0.00041227880624195024,0.00038178125735455204,3.0497548887398196e-05
reversible,-0.1,5,0.5,0.00021291066295514582,0.0001845804880904467,2.833017486469913e-05
reversible,-0.1,5,1.0,0.00046979563626958765,0.00043820004461836426,3.159559165122339e-05
reversible,-0.1,6,0.5,0.00023059621196663826,0.000201287912231507,2.930829973513127e-05
reversible,-0.1,6,1.0,0.0005137119782236965,0.00048162788316985505,3.2084095053841466e-05
reversible,-0.1,7,0.5,0.0002443739159487812,0.00021440327526067726,2.9970640688103956e-05
reversible,-0.1,7,1.0,0.0005485466685799523,0.0005162799826163855,3.2266685963566744e-05
nonldb,0.1,4,0.5,0.00020082174910918127,0.00020084569003286923,-2.3940923687959526e-08
nonldb,0.1,4,1.0,0.0004693793293149007,0.0004693664947141851,1.2834600715549982e-08
nonldb,0.1,5,0.5,0.00023100327549441246,0.0002310333704205192,-3.009492610672737e-08
nonldb,0.1,5,1.0,0.0005436522379613784,0.0005436620056669117,-9.767705533292315e-09
nonldb,0.1,6,0.5,0.0002538001259684286,0.00025383936334177903,-3.9237373350431426e-08
nonldb,0.1,6,1.0,0.000600731320973491,0.0006007701804244814,-3.885945099035837e-08
nonldb,0.1,7,0.5,0.00027170614907134905,0.00027174958013431727,-4.343106296822441e-08
nonldb,0.1,7,1.0,0.000646206791473869,0.0006462734449290686,-6.665345519962784e-08
nonldb,-0.1,4,0.5,0.00020082287459421977,0.0002008465339973231,-2.3659403103337695e-08
nonldb,-0.1,4,1.0,0.000469380054301638,0.0004693661326207188,1.3921680919182222e-08
nonldb,-0.1,5,0.5,0.00023100302613254797,0.00023103345310548917,-3.042697294119989e-08
nonldb,-0.1,5,1.0,0.0005436515334555914,0.0005436611825102577,-9.649054666382995e-09
nonldb,-0.1,6,0.5,0.0002538004254506454,0.0002538395890878675,-3.916363722211713e-08
nonldb,-0.1,6,1.0,0.0006007302854609264,0.000600768914704064,-3.8629243137577873e-08
nonldb,-0.1,7,0.5,0.0002717057340424489,0.00027174916452010756,-4.343047765864583e-08
nonldb,-0.1,7,1.0,0.0006462056021696583,0.0006462731049041714,-6.750273451316957e-08
