mode,L,alpha,c0,c_delta2,c_A2,c_deltaA,c_delta2A2,max_abs_resid,rel_resid
nonLDB_site_skew,4,0.5,-2.0280561844364996e-07,0.10164335237628894,0.0038419818800062705,-6.840139099703255e-08,-0.0014925568014382885,1.348869955062281e-09,6.716711582350767e-06
nonLDB_site_skew,4,1.0,-9.408571727880997e-08,0.23866082940310818,0.008759939388085891,-1.6927523353296378e-08,0.0009349553117869109,9.153005136270178e-09,1.9500200429031556e-05
nonLDB_site_skew,5,0.5,-1.9473793420972039e-07,0.11547796349819714,0.0046463014902122235,1.1672485540408992e-08,-0.0018714988643964662,1.6511460540973933e-09,7.14771706402381e-06
nonLDB_site_skew,5,1.0,-7.09173213423852e-08,0.27391022488345274,0.010547516660163903,3.5704235035096538e-09,-0.0006414056038819874,1.1731505834457022e-08,2.1579053581630843e-05
nonLDB_site_skew,6,0.5,-1.892951472278002e-07,0.12591566393248646,0.005256251544459287,-2.3990402731651622e-08,-0.0023686719384520363,2.5585700380716347e-09,1.00809984595905e-05
nonLDB_site_skew,6,1.0,-5.434666806428991e-08,0.301041639951946,0.011915450233411506,-1.1048969311396387e-07,-0.00239000017064276,1.4067923403328505e-08,2.3417977577816168e-05
nonLDB_site_skew,7,0.5,-1.8502923570949855e-07,0.13411070656010823,0.005735776965449024,1.2465732135294796e-07,-0.002756174674693667,2.5754668329090215e-09,9.478856311246154e-06
nonLDB_site_skew,7,1.0,-4.0627465664865724e-08,0.3226897757784042,0.013000641841500404,-2.83640958819234e-08,-0.004083846373682794,1.4774972398479559e-08,2.2864141205372373e-05
reversible_side,4,0.5,-2.0296407790688748e-07,0.10164316994598355,3.0672211923099546e-08,-7.108884166051599e-08,0.052507780981617055,2.5945916817152534e-05,0.1371259092726748
reversible_side,4,1.0,-9.45447947350896e-08,0.23866079407054025,7.504761737053833e-08,7.014759977747032e-08,0.025303405208662796,3.0110756154549045e-05,0.07303487142750698
reversible_side,5,0.5,-1.9529833276271669e-07,0.11547818602284565,4.5753825533845216e-08,-4.4768673261585956e-08,0.04874186209084975,2.7560357245005212e-05,0.12944564101425346
reversible_side,5,1.0,-7.206799695789677e-08,0.2739107287424739,7.020360542897564e-08,-1.1667419905214693e-08,0.018693803942188385,3.13110170737013e-05,0.06664813163948957
reversible_side,6,0.5,-1.8990326966434377e-07,0.12591594119971072,7.00842832379589e-08,-1.074721419497271e-08,0.0454719039182991,2.859231502218992e-05,0.12399299528107835
reversible_side,6,1.0,-5.5155130687743056e-08,0.3010414912806264,3.499510559112906e-08,2.9943970447296464e-08,0.013546687936675277,3.188377012314312e-05,0.06206545978039105
reversible_side,7,0.5,-1.8547914302270449e-07,0.13411054122277216,6.926251114314219e-08,8.414374037118977e-08,0.04284439905712463,2.929666270021374e-05,0.11988457354984221
reversible_side,7,1.0,-4.075976334691999e-08,0.3226893267896871,-6.047216982718595e-08,1.873753683809265e-08,0.009629772438973196,3.213192354446434e-05,0.05857635982337634
