L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,activity_mode,activity_bias,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict,density_delta,activity_A
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,16,6.196466915369545e-17,4.613646410007257e-16,1.6653345369377348e-16,0.7071067811865476,3.2749683140010424,1.7595593225926582,NA,-3.519118431680702,C_from_tilted_residual,1.5154092049129986,2.1112319158662657e-06,0.7577046789257635,7.254340371125565e-07,1.9999997981554916,-3.3306690738754696e-16,-1.5293852850817302e-07,ok,ROW_VALID,0.0,0.0
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,32,6.806728445355365e-17,5.845281316425229e-16,5.551115123125783e-17,0.7071067811865475,3.7456532621282257,2.0325066223643686,NA,-4.065013000833061,C_from_tilted_residual,1.7131468836595332,2.1340877090427373e-06,0.856573524987625,7.183469724939979e-07,1.9999998058360293,6.661338147750939e-16,-1.66315716754184e-07,ok,ROW_VALID,0.0,0.0
6,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,64,1.0314217721681013e-16,1.3449450340910315e-15,3.885780586188048e-16,0.7071067811865476,4.17161685107453,2.2809104894369945,NA,-4.56182070932468,C_from_tilted_residual,1.8907066311868448,2.1523658297763806e-06,0.945353405517424,7.130623980000087e-07,1.9999998097557992,1.7763568394002505e-15,-1.798480031567351e-07,ok,ROW_VALID,0.0,0.0
7,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,128,1.8026192241695776e-16,3.637578789869244e-15,3.608224830031759e-16,0.7071067811865476,4.563559749517733,2.510382892322371,NA,-5.0207654886394675,C_from_tilted_residual,2.053177153200636,2.165417818198675e-06,1.0265886711961936,7.089454537683662e-07,1.9999998157083196,6.439293542825908e-15,-1.8919175115428288e-07,ok,ROW_VALID,0.0,0.0
4,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,16,3.994602412697815e-17,2.573946193822258e-16,1.3877787807814457e-16,0.7071067811865476,1.48431251574492,0.8966855997078638,NA,-1.7933711195368152,C_from_tilted_residual,0.5876269959159686,2.0452956727674865e-06,0.2938135107427686,5.38343829965323e-07,1.9999999129734756,-1.1102230246251565e-16,-2.5569568684602473e-08,ok,ROW_VALID,0.0,0.0
5,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,32,8.647674148850482e-17,5.604204008429283e-16,3.3306690738754696e-16,0.7071067811865475,1.5949739780339511,0.9898982066061637,NA,-1.9797963294422474,C_from_tilted_residual,0.6050758551978674,2.0616973869023257e-06,0.30253793655191097,5.041156459677822e-07,1.9999999408141844,-1.1102230246251565e-16,-1.790595449691068e-08,ok,ROW_VALID,0.0,0.0
6,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,64,8.088799447335863e-17,1.1748266657873885e-15,1.3877787807814457e-16,0.7071067811865476,1.685635440330758,1.0682477959561585,NA,-2.136495506724592,C_from_tilted_residual,0.6173877295623242,2.077400987201339e-06,0.3086938713795728,4.780689926232719e-07,1.9999999572494869,-6.106226635438361e-16,-1.319682141343037e-08,ok,ROW_VALID,0.0,0.0
7,tail_alpha_1_left_transport_current_reversible_signed,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.0,0.5,0.5,128,7.854301157561345e-17,1.2221616269928561e-15,8.326672684688674e-17,0.7071067811865476,1.7624080137464455,1.1358464834352242,NA,-2.271692880174088,C_from_tilted_residual,0.6265616170075816,2.0896400504336128e-06,0.31328081292723575,4.57464895357227e-07,1.9999999717605115,-3.885780586188048e-16,-8.846889887337284e-09,ok,ROW_VALID,0.0,0.0
4,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,16,7.073293277502633e-17,3.572709123174241e-16,5.551115123125783e-17,0.7071067811865476,3.259720196204084,1.7418056182572634,NA,-3.4836110241913776,C_from_tilted_residual,1.5179147902699697,2.099171884236337e-06,0.7589574736242333,7.298859229178895e-07,1.9999997931656222,2.220446049250313e-16,-1.56978496868021e-07,ok,ROW_VALID,0.0,0.05
5,tail_alpha_0.5_left_transport_current_reversible_signed,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,reversible_side,0.05,0.5,0.5,32,1.096092783626145e-16,1.0218567102352742e-15,4.440892098500626e-16,0.7071067811865475,3.7266344057480087,2.0103775879475734,NA,-4.020754933741763,C_from_tilted_residual,1.7162570599538185,2.121402011357797e-06,0.8581286157311574,7.230763474296473e-07,1.9999998001366075,-1.4432899320127035e-15,-1.7150849629388176e-07,ok,ROW_VALID,0.0,0.05
