L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,16,3.988536330182431e-17,4.833859084009882e-16,2.7755575615628914e-16,0.7071067811865476,3.274961109459242,1.7595558918725818,NA,-3.5191117297702474,C_from_tilted_residual,1.5154052715615762,2.216486435012817e-06,0.7577026545984911,9.067924249985745e-07,1.9999999503295842,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,32,6.835952239513569e-17,7.426483479894022e-16,8.326672684688674e-17,0.7071067811865475,3.7456442607395397,2.0325023610171673,NA,-4.06500466293993,C_from_tilted_residual,1.7131419588167773,2.2419497913975134e-06,0.8565710011370742,8.979338403793684e-07,1.9999999492658858,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,64,7.788298860560001e-17,9.083720834721547e-16,2.7755575615628914e-16,0.7071067811865476,4.171606054549653,2.2809053999500026,NA,-4.561810728278217,C_from_tilted_residual,1.8907007262214393,2.2570990508975133e-06,0.9453503834742083,8.913276979786996e-07,1.999999956918643,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,128,1.1681163532161277e-16,1.9227997457963334e-15,2.7755575615628914e-16,0.7071067811865476,4.563547159564997,2.510376976530854,NA,-5.020753878072977,C_from_tilted_residual,2.053170258022874,2.2730685349554937e-06,1.0265851521663594,8.861814685942169e-07,1.9999999548894265,ok,ROW_VALID
8,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,256,1.4680297242969945e-16,2.713788778318371e-15,6.661338147750939e-16,0.7071067811865475,4.928490804297175,2.7246731753706657,NA,-5.449346273777553,C_from_tilted_residual,2.2038177058902875,2.2865376167269234e-06,1.1019088792582288,8.820408952453756e-07,1.9999999522409058,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,16,8.845191600463586e-17,7.592938356475173e-16,1.942890293094024e-16,0.7071067811865476,1.484312328971924,0.8966855157532992,NA,-1.7933710121985569,C_from_tilted_residual,0.5876268325266665,2.1484011349426623e-06,0.29381341979042297,6.72929757239341e-07,1.9999999759909555,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,32,1.0262531402300363e-16,9.282310643747278e-16,1.3877787807814457e-16,0.7071067811865475,1.5949737447034777,0.9898981031473404,NA,-1.9797961856718849,C_from_tilted_residual,0.6050756621789333,2.166035141349749e-06,0.30253783348753727,6.301444143329944e-07,1.9999999841469702,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,64,1.0424682726627438e-16,1.3017779219461088e-15,1.1102230246251565e-16,0.7071067811865476,1.685635160496941,1.0682476731232642,NA,-2.136495325320889,C_from_tilted_residual,0.6173875082993163,2.181474405053988e-06,0.3086937559847902,5.975864394404761e-07,1.999999988110339,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,128,9.688410573854834e-17,1.3536090745548001e-15,2.7755575615628914e-17,0.7071067811865476,1.7624076874633334,1.1358463413198887,NA,-2.2716926599504546,C_from_tilted_residual,0.6265613688327676,2.1918885433473582e-06,0.31328068501462747,5.718309074781148e-07,1.9999999961807815,ok,ROW_VALID
8,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,256,1.060623801226103e-16,1.9575368675900765e-15,1.6653345369377348e-16,0.7071067811865475,1.8289761328587975,1.195302261201026,NA,-2.390604499547525,C_from_tilted_residual,0.6336738945122988,2.202703687008176e-06,0.3168369474640609,5.508588224858382e-07,1.9999999986875807,ok,ROW_VALID
4,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,16,1.1455469864040052e-16,9.254518065620727e-16,8.326672684688674e-17,0.7071067811865476,0.9741227986832656,0.6490980033538329,NA,-1.298195995679111,C_from_tilted_residual,0.3250248063579875,1.868170338859637e-06,0.16251240152227453,3.560588766948178e-07,2.000000020388834,ok,ROW_VALID
5,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,32,8.517166575265938e-17,8.233634315563856e-16,1.6653345369377348e-16,0.7071067811865475,1.0087780633180228,0.6989648363795398,NA,-1.3979296616817238,C_from_tilted_residual,0.3098132380158387,1.8386130208677402e-06,0.15490661616959223,2.61471466337231e-07,2.000000036645654,ok,ROW_VALID
6,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,64,1.1429874207150491e-16,1.3401589344694595e-15,5.551115123125783e-17,0.7071067811865476,1.034489056044508,0.7384183071883508,NA,-1.4768366084756204,C_from_tilted_residual,0.2960707547572383,1.832963201435732e-06,0.1480353762840836,1.8806013984891146e-07,2.000000014787487,ok,ROW_VALID
7,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,128,1.1601559880990591e-16,1.452202909067471e-15,2.7755575615628914e-16,0.7071067811865476,1.0545299336273872,0.7707029057018633,NA,-1.5414058012843599,C_from_tilted_residual,0.2838270380448905,1.8006022220387085e-06,0.1419135151835338,1.2902951686095166e-07,2.0000000541021263,ok,ROW_VALID
8,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,256,1.3498796368977927e-16,2.321277813451064e-15,3.3306690738754696e-16,0.7071067811865475,1.0707140308751588,0.797792136250687,NA,-1.5955842746427955,C_from_tilted_residual,0.27292189248305027,1.8301431633672625e-06,0.13646094804252717,8.028098785616854e-08,1.99999997360414,ok,ROW_VALID
