L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,16,4.27343178233832e-17,3.8731472009913607e-16,3.3306690738754696e-16,0.7071067811865476,3.2743507327735264,1.7592282688140433,NA,-3.518071423524945,C_from_tilted_residual,1.5155075780626248,2.2158884722877243e-06,0.7576575430743748,9.071045861819062e-07,2.0002540618985907,0.15154052175866572,0.00019249191387515907,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,32,7.069660008385828e-17,5.670634547535452e-16,5.551115123125783e-16,0.7071067811865475,3.7448458595863032,2.032066183918393,NA,-4.0636377492297715,C_from_tilted_residual,1.7132742942749246,2.2380933254063006e-06,0.856513527948155,8.982908992912666e-07,2.0002886567118288,0.17131418997223669,0.0002472383786145116,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,64,8.655041182084963e-17,7.966161725744051e-16,3.885780586188048e-16,0.7071067811865476,4.170630542686276,2.280364978078828,NA,-4.560134740244962,C_from_tilted_residual,1.8908607805201427,2.255630354660981e-06,0.945281624576122,8.917201088347251e-07,2.00031475420675,0.1890700654599642,0.00029753136789878454,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,128,8.481657770234424e-17,1.3714479049924906e-15,0.0,0.7071067811865476,4.562404142581256,2.5097364839774876,NA,-5.0187845437047915,C_from_tilted_residual,2.053356082853952,2.2701096536621865e-06,1.0265059765668827,8.866012773447122e-07,2.0003352437570188,0.2053170183034133,0.0003441297201867144,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,16,4.336997171840209e-17,3.1742663826747935e-16,1.1102230246251565e-16,0.7071067811865476,1.483539682215588,0.896240395410878,NA,-1.7921302264994403,C_from_tilted_residual,0.5876498511270256,2.146665770832303e-06,0.29373729273057814,6.739298689861885e-07,2.0005966748867334,0.05876268132186241,0.00017526566586933967,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,32,6.412619393911743e-17,6.612055583223103e-16,3.3306690738754696e-16,0.7071067811865475,1.5940116885494997,0.9893220410150241,NA,-1.97822980512195,C_from_tilted_residual,0.6051039244425738,2.1626167266416026e-06,0.3024484001902694,6.313490401171884e-07,2.000684824458997,0.06050756415561326,0.00020712406203493572,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,64,5.57933780564028e-17,6.043201985007459e-16,2.7755575615628914e-17,0.7071067811865476,1.6845080100325667,1.0675524525271864,NA,-2.1346403419120596,C_from_tilted_residual,0.6174201206476937,2.179384798007952e-06,0.30859392643997063,5.989589873404626e-07,2.0007526647411114,0.061738748737367954,0.00023226776775242541,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,128,8.678571787983104e-17,1.0708522056158472e-15,5.551115123125783e-17,0.7071067811865476,1.761134474975392,1.135042194687483,NA,-2.269579030039292,C_from_tilted_residual,0.6265976396235828,2.194832235446113e-06,0.31317248688074173,5.733447855792685e-07,2.0008067945706727,0.06265613461434494,0.00025266586209937714,ok,ROW_VALID
4,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,16,6.316082326849878e-17,2.6913636215588096e-16,1.942890293094024e-16,0.7071067811865476,0.9733126156632046,0.6486084462468904,NA,-1.2969198304363745,C_from_tilted_residual,0.3250012314737205,1.8721147487155594e-06,0.1624263517177149,3.577435541443257e-07,2.0009144331367414,0.03250247953294322,0.00014852803829068506,ok,ROW_VALID
5,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,32,9.356887223531596e-17,5.323220381765507e-16,1.942890293094024e-16,0.7071067811865475,1.0078051842944205,0.6983441430469656,NA,-1.3963620078786323,C_from_tilted_residual,0.30978731946275373,1.8421719148849511e-06,0.15481209046315225,2.636100882389537e-07,2.001053784210013,0.030981322693848734,0.0001631385364492255,ok,ROW_VALID
6,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,64,1.045876683380385e-16,1.4564333507466439e-15,3.608224830031759e-16,0.7071067811865476,1.033383187148678,0.7376835796142633,NA,-1.4750232998948216,C_from_tilted_residual,0.29604346686811983,1.843587126920161e-06,0.1479357698225714,1.9058791123929907e-07,2.00116217479507,0.029607074885617035,0.00017192722297704188,ok,ROW_VALID
7,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.475,0.525,128,1.1071811234589408e-16,1.498572752773143e-15,2.7755575615628914e-17,0.7071067811865476,1.0533127439329468,0.7698681874988516,NA,-1.5393819626787206,C_from_tilted_residual,0.2837989687530778,1.790413582724632e-06,0.14181087929368008,1.318953498581503e-07,2.0012496232066277,0.028382702792553727,0.00017721016571764503,ok,ROW_VALID
