L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,16,7.905848797325892e-17,6.300469521979145e-16,3.0531133177191805e-16,0.7071067811865476,3.274961109459241,1.7005766026795792,NA,-3.5191117293012475,C_from_tilted_residual,1.4564259828375725,2.39804015129777e-06,0.7266727643278958,9.175350085595071e-07,2.004239121559248,-0.6061620870346647,0.003080454181780823,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,32,7.266850938371798e-17,8.182193212747935e-16,8.326672684688674e-17,0.7071067811865475,3.7456442607395406,1.9660939845315795,NA,-4.0650046581626915,C_from_tilted_residual,1.6467335871084288,2.417914363731174e-06,0.8213885905169915,9.114552996062209e-07,2.0048167287933176,-0.6852567598889501,0.003956406074445695,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,64,1.1202644505710117e-16,1.8305499592310166e-15,1.6653345369377348e-16,0.7071067811865476,4.1716060545496525,2.2078382426607623,NA,-4.5618107294282195,C_from_tilted_residual,1.8176335677821953,2.4342050795192903e-06,0.9064362263648373,9.069520506009655e-07,2.0052525648402364,-0.7562802618398629,0.004761115052520637,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,128,7.966391665236088e-17,1.0829550491465796e-15,0.0,0.7071067811865476,4.563547159564996,2.4312233199535545,NA,-5.020753874230152,C_from_tilted_residual,1.9740166052883978,2.446006921825483e-06,0.984254937214013,9.034618821815797e-07,2.005594821678984,-0.8212680732136592,0.005506730860371789,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,16,5.678042349975012e-17,4.805328852613522e-16,8.326672684688674e-17,0.7071067811865476,1.4843123289719242,0.8735487329784772,NA,-1.7933710106612888,C_from_tilted_residual,0.5644900512891127,2.335492367991459e-06,0.2808428506413385,7.216971851018191e-07,2.0099854776435704,-0.23505072528744958,0.002804350006435641,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,32,6.272197071417326e-17,6.557142978003017e-16,2.498001805406602e-16,0.7071067811865475,1.5949737447034773,0.9661472494782394,NA,-1.9797961857309718,C_from_tilted_residual,0.581324808450745,2.3551557297955458e-06,0.28900538812012266,6.882455216789506e-07,2.011467025691307,-0.2420302566224546,0.00331403221049964,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,64,9.050925773594231e-17,1.299218287482572e-15,1.6653345369377348e-16,0.7071067811865476,1.6856351604969406,1.044073959077791,NA,-2.136495324475486,C_from_tilted_residual,0.5932137950992455,2.368891778415893e-06,0.2947487338579524,6.630229470884011e-07,2.0126084591940323,-0.24695499494946993,0.0037163273833407118,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,128,1.1790623046366652e-16,1.600022436625493e-15,1.3877787807814457e-16,0.7071067811865476,1.762407687463333,1.11136425880958,NA,-2.2716926605742485,C_from_tilted_residual,0.6020792856986645,2.3814688502670266e-06,0.29901828838414524,6.432268309076404e-07,2.013519938704152,-0.2506245384573768,0.0040427089303740615,ok,ROW_VALID
4,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,16,6.43721267284426e-17,2.40385893998304e-16,1.942890293094024e-16,0.7071067811865476,0.9741227986832657,0.6357198376203654,NA,-1.2981959960050404,C_from_tilted_residual,0.3116466402985907,2.072025219190903e-06,0.15463510917317347,4.4113125923407866e-07,2.015367932709139,-0.1300099181317732,0.0023764219522437457,ok,ROW_VALID
5,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,32,1.0337737392514169e-16,1.1524856260965943e-15,2.7755575615628914e-17,0.7071067811865475,1.0087780633180228,0.6861576318414904,NA,-1.3979296584292946,C_from_tilted_residual,0.2970060367302185,2.034423229304872e-06,0.147197940870758,3.637578059097822e-07,2.0177322792238943,-0.12392529077539244,0.00261015498870254,ok,ROW_VALID
6,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,64,1.3882218210548105e-16,1.7396049163417416e-15,3.3306690738754696e-16,0.7071067811865476,1.0344890560445086,0.7261389233332222,NA,-1.4768365954945812,C_from_tilted_residual,0.28379138388314945,1.9987334302921027e-06,0.14052025853886763,3.0425216353553997e-07,2.019576300485195,-0.11842829954246187,0.0027508668054141983,ok,ROW_VALID
7,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.5,0.3,128,1.9420675711793925e-16,3.9383218382318615e-15,2.220446049250313e-16,0.7071067811865476,1.054529933627387,0.7589006698354339,NA,-1.5414057998706046,C_from_tilted_residual,0.27202480359221626,2.0081855929540347e-06,0.1345948010550102,2.5675822413219616e-07,2.021064717656049,-0.11353081117020669,0.0028352014821958482,ok,ROW_VALID
