L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,16,4.9144465496890665e-17,3.9446843149130694e-16,2.7755575615628914e-17,0.7071067811865476,3.252987548773508,1.7477614617652528,NA,-3.4816606725386867,C_from_tilted_residual,1.5190883380000741,2.175803822934493e-06,0.7560786396972219,9.175173786126126e-07,2.0091671133685325,0.9092431305519968,0.006931058605630369,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,32,7.975277612765832e-17,6.861132400443461e-16,1.3877787807814457e-16,0.7071067811865475,3.716901819223009,2.0167999854613052,NA,-4.015795920861946,C_from_tilted_residual,1.7179058838223682,2.1940460057786096e-06,0.8545019662855147,9.102064306063522e-07,2.0104177071587506,1.0278851398334248,0.008901951251338858,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,64,1.1861987771727316e-16,1.777046690744979e-15,4.163336342344337e-16,0.7071067811865476,4.136487627468122,2.2614502125877953,NA,-4.501475163912843,C_from_tilted_residual,1.8964626761430736,2.2090233584540776e-06,0.9428750631051308,9.047897941029883e-07,2.01136157944143,1.1344203927597933,0.01071254993281201,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,128,1.24419229123159e-16,2.0294791457597817e-15,1.942890293094024e-16,0.7071067811865476,4.522398548150293,2.487319244609868,NA,-4.949857947968317,C_from_tilted_residual,2.059859844791845,2.2208262290905204e-06,1.0237348305266014,9.005919613774095e-07,2.0121029229143925,1.2319021098204912,0.01239018373864198,ok,ROW_VALID
8,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,256,1.0592476320403815e-16,1.6079060742558656e-15,1.6653345369377348e-16,0.7071067811865475,4.881613805117201,2.6981521577110232,NA,-5.36839077888124,C_from_tilted_residual,2.211375183946984,2.229446041405147e-06,1.0987092535562848,8.972305954303957e-07,2.0127027935636654,1.32229057735591,0.013956676834414594,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,16,4.308464295709682e-17,3.5924234037706695e-16,1.3877787807814457e-16,0.7071067811865476,1.4564970457438036,0.8806611834261342,NA,-1.7487027432307167,C_from_tilted_residual,0.588455485939221,2.115732431520419e-06,0.29107284560099256,7.074987638424153e-07,2.0216777168760203,0.35257608793117523,0.006309794737235919,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,32,4.8094645454338076e-17,8.709932858435626e-16,2.220446049250313e-16,0.7071067811865475,1.5603397231602698,0.969159866383985,NA,-1.9234065397334028,C_from_tilted_residual,0.6060930498108519,2.1346259818315157e-06,0.2993182347361789,6.718005237220725e-07,2.024911881312765,0.3630453849336831,0.0074565803384940565,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,64,9.006291071149109e-17,1.2524390201765016e-15,1.942890293094024e-16,0.7071067811865476,1.6450577437794787,1.0432197316645082,NA,-2.0697159500300346,C_from_tilted_residual,0.618561525413952,2.1518185115024153e-06,0.30509989231004564,6.450713514089498e-07,2.0274065675033524,0.3704324924242076,0.008361740793860761,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,128,6.760309649863517e-17,9.798987981426728e-16,5.551115123125783e-17,0.7071067811865476,1.7165720378974534,1.1068970625532981,NA,-2.195601896959801,C_from_tilted_residual,0.6278672034909505,2.16394486178124e-06,0.30938555212511876,6.242132601215328e-07,2.029400530109546,0.37593680768606674,0.009096099240712974,ok,ROW_VALID
8,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.35,0.65,256,1.0782897239079098e-16,2.1639120255641524e-15,3.885780586188048e-16,0.7071067811865475,1.7784295777999046,1.1627479155295821,NA,-2.3060853377530424,C_from_tilted_residual,0.6350921555764444,2.1772005130261743e-06,0.312693461908653,6.074286441165326e-07,2.0310375269757754,0.3802043229946631,0.0097052317591384,ok,ROW_VALID
