L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,16,4.7719988236111235e-17,3.899887211841157e-16,8.326672684688674e-17,0.7071067811865476,3.1815952896611828,1.6209212657951966,NA,-3.4218608320188943,C_from_tilted_residual,1.380655723437485,2.643357334062962e-06,0.6887876318596886,9.23453194892387e-07,2.0044722924390945,0.6061620870346639,0.0030804597181077753,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,32,7.90954730277051e-17,6.438984707718078e-16,5.551115123125783e-17,0.7071067811865475,3.6396621421432496,1.8754041422484646,NA,-3.9539897930640744,C_from_tilted_residual,1.5610764913276398,2.6637452765762043e-06,0.7785600408829474,9.199374329851395e-07,2.005081701286979,0.6852567598889494,0.0039564095617450334,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,64,6.955607130237807e-17,6.9919030055906905e-16,0.0,0.7071067811865476,4.05426196782017,2.1072008769870285,NA,-4.4383643052927315,C_from_tilted_residual,1.7230985395144671,2.676274685991763e-06,0.8591687077627475,9.173641710011308e-07,2.0055415472490496,0.7562802618398607,0.004761123988972216,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,128,6.54603771611763e-17,1.0292653794763882e-15,3.0531133177191805e-16,0.7071067811865476,4.435784880647981,2.3214591227958703,NA,-4.885885909464982,C_from_tilted_residual,1.8713580939788699,2.6910786009615194e-06,0.9329256803159325,9.153878328558118e-07,2.0059026495498977,0.8212680732136586,0.005506733347004911,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,16,5.478312217061318e-17,3.4501194443617208e-16,8.326672684688674e-17,0.7071067811865476,1.44596413315346,0.838640738857837,NA,-1.7494961607497965,C_from_tilted_residual,0.5351087112615005,2.5835615834678025e-06,0.26615218030614507,7.612499957787881e-07,2.010536643532225,0.23505072528745002,0.002804350649210363,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,32,4.300433626391543e-17,6.750263184153576e-16,2.7755575615628914e-17,0.7071067811865475,1.5548209815941976,0.9291833766077919,NA,-1.9329333337981076,C_from_tilted_residual,0.5510710244038819,2.6073640325437496e-06,0.27387849724778146,7.353515747728834e-07,2.012100365459946,0.24203025662245503,0.0033140299083189717,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,64,5.74547808696379e-17,8.007343413578027e-16,1.942890293094024e-16,0.7071067811865476,1.6440833093970246,1.0055014366299677,NA,-2.0872403233371166,C_from_tilted_residual,0.5623444226898755,2.613390208876563e-06,0.2793140469771749,7.15918374991822e-07,2.0133051981300083,0.24695499494947087,0.0037163287355257424,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,128,6.760309649863517e-17,9.338188234414492e-16,1.1102230246251565e-16,0.7071067811865476,1.719721156742962,1.0714810003740687,NA,-2.220450935472403,C_from_tilted_residual,0.5707512216446275,2.6232677929761093e-06,0.28335425514589563,7.007342735427809e-07,2.014267339485531,0.250624538457378,0.004042711352836292,ok,ROW_VALID
4,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,16,7.856168154492727e-17,3.8580607332785866e-16,2.7755575615628914e-17,0.7071067811865476,0.9513805788832558,0.6134742715085568,NA,-1.269459449593997,C_from_tilted_residual,0.29539540079781546,2.331837404508161e-06,0.1465094897445951,5.121412287469212e-07,2.0162202551709654,0.13000991813177287,0.002376421308625254,ok,ROW_VALID
5,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,32,6.308489576046189e-17,4.678676692943045e-16,8.326672684688674e-17,0.7071067811865475,0.9862977536073033,0.6637506311416734,NA,-1.3685330130128248,C_from_tilted_residual,0.2815153717361518,2.3082113498082636e-06,0.1394526107848626,4.4715660143001273e-07,2.0187171122271304,0.12392529077539316,0.002610150166426628,ok,ROW_VALID
6,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,64,9.748309445634607e-17,9.896531081213503e-16,5.551115123125783e-17,0.7071067811865476,1.0123013355298172,0.7037245027827095,NA,-1.447038004231998,C_from_tilted_residual,0.2689878340805286,2.3051030244038493e-06,0.133118490492512,3.9721216516758527e-07,2.02066469568072,0.11842829954246242,0.0027508530955046018,ok,ROW_VALID
7,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.55,0.75,128,1.1423471420081059e-16,1.2383707629968795e-15,3.608224830031759e-16,0.7071067811865476,1.0326315531740926,0.7365562103552467,NA,-1.511354316738486,C_from_tilted_residual,0.2578334467908533,2.2917892946191016e-06,0.12749912609070213,3.573798376504054e-07,2.022236972882717,0.11353081117020924,0.002835194609449032,ok,ROW_VALID
