L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,sector,observable_kind,observable_status,affinity_mode,affinity_split,rho_left,rho_right,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,J0,FDT_residual_R2,status,verdict
4,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,16,5.911580632234676e-17,4.831438838870048e-16,5.551115123125783e-17,0.7071067811865476,3.265195082487805,1.75431392293599,NA,-3.502466813645067,C_from_tilted_residual,1.517042191778728,2.196609849535027e-06,0.7569808702053038,9.116915681107511e-07,2.0040693913008463,-0.6061620870346642,0.003080451368120407,ok,ROW_VALID
5,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,32,5.521346039607114e-17,6.827704051882339e-16,2.220446049250313e-16,0.7071067811865475,3.7328698422877493,2.0255235274367847,NA,-4.043134110936851,C_from_tilted_residual,1.7152592587876825,2.21998716242511e-06,0.8556514301014451,9.035402193994362e-07,2.004623843828933,-0.6852567598889494,0.003956398584792353,ok,ROW_VALID
6,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,64,5.819555587381877e-17,6.653160200109345e-16,8.326672684688674e-17,0.7071067811865476,4.155997864735639,2.272258650011243,NA,-4.5349949214514895,C_from_tilted_residual,1.8932615932953922,2.234776724369276e-06,0.9442502410995424,8.974776278600467e-07,2.0050422132704604,-0.7562802618398596,0.004761111096307502,ok,ROW_VALID
7,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,128,6.849532149689952e-17,1.2527363413121141e-15,5.551115123125783e-16,0.7071067811865476,4.545258887825129,2.50012909567708,NA,-4.989244573656819,C_from_tilted_residual,2.05614340984539,2.2480691139298967e-06,1.0253183425622314,8.927649204165985e-07,2.00537074632564,-0.8212680732136579,0.005506724720927281,ok,ROW_VALID
8,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,256,9.82152763763915e-17,1.4417342758726132e-15,5.551115123125783e-16,0.7071067811865475,4.907656582439408,2.7128860564108224,NA,-5.413366050507767,C_from_tilted_residual,2.207176588342463,2.2589076794958096e-06,1.100486823406266,8.889802342180675e-07,2.00563654320797,-0.8815270515706044,0.006202941529931394,ok,ROW_VALID
4,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,16,6.676693014543481e-17,4.892005024415594e-16,2.7755575615628914e-17,0.7071067811865476,1.4719499808705376,0.8895635902745589,NA,-1.7735184482602198,C_from_tilted_residual,0.5879951228848768,2.1334721543081027e-06,0.29259538682601116,6.886616249390564e-07,2.009584393189774,-0.23505072528745036,0.0028043492328544417,ok,ROW_VALID
5,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,32,6.681762178692711e-17,5.339515741115763e-16,1.6653345369377348e-16,0.7071067811865475,1.5795808462398298,0.9806811090302935,NA,-1.9547341210313949,C_from_tilted_residual,0.6055278342387282,2.151946364946943e-06,0.30110690072020496,6.490974673563952e-07,2.011006166880904,-0.24203025662245486,0.0033140327983183226,ok,ROW_VALID
6,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,64,8.82775226136862e-17,8.830957798823287e-16,5.551115123125783e-17,0.7071067811865476,1.6676007530669579,1.057124143586039,NA,-2.1068156015798922,C_from_tilted_residual,0.6179092950731047,2.165624912079753e-06,0.3070964832534995,6.191883502302739e-07,2.012101501543533,-0.24695499494947065,0.003716328566105709,ok,ROW_VALID
7,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,128,1.1435129584887235e-16,1.2791298742808679e-15,8.326672684688674e-17,0.7071067811865476,1.742036287656275,1.122979995201404,NA,-2.2378745430025595,C_from_tilted_residual,0.6271417398551193,2.178916201699445e-06,0.3115495148557912,5.956604544456939e-07,2.012976140070089,-0.2506245384573773,0.004042710143536965,ok,ROW_VALID
8,tail_alpha_1_left_transport_current,1.0,1.0,tail,exclusion,left_transport_current,transport_non_coboundary,two_terminal_symmetric,0.5,0.6,0.4,256,1.2382856885207068e-16,1.8694910498812012e-15,8.326672684688674e-17,0.7071067811865475,1.8065109972770674,1.1808336631248308,NA,-2.3530404272283323,C_from_tilted_residual,0.634304233173566,2.190350774074761e-06,0.31499539834521917,5.765875505852343e-07,2.013693649195473,-0.25346954866310645,0.004313436483127653,ok,ROW_VALID
