L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,observable_kind,observable_status,affinity_mode,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,status,verdict
16,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,4.129252930755275e-17,1.4279249251004954e-16,3.469446951953614e-17,0.7071067811865474,0.8553479476864478,0.4721084468966676,NA,-0.9442168569724834,C_from_tilted_residual,0.3832395376106321,6.20834216231892e-06,0.19161975543623977,3.9464230820355536e-07,2.000000139537557,ok,ROW_VALID
24,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,25,3.045096148224864e-17,2.3368576599952175e-16,1.5612511283791264e-17,0.7071067811865475,0.7254489907655861,0.4040627320915275,NA,-0.8081254307160948,C_from_tilted_residual,0.3213862921410188,6.559830663223029e-06,0.1606931329296346,3.35357676973525e-07,2.000000163552413,ok,ROW_VALID
32,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,33,3.609553657637548e-17,1.9311389474502185e-16,2.949029909160572e-17,0.7071067811865476,0.6414381795030342,0.3592761295036395,NA,-0.7185522290324138,C_from_tilted_residual,0.2821620799742599,6.748832403708452e-06,0.14108102783800258,3.017781401427858e-07,2.0000001722290737,ok,ROW_VALID
48,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,49,1.7139528933767087e-17,8.231559315888543e-17,0.0,0.7071067811865476,0.5357676530961146,0.3021453058696322,NA,-0.6042905855238444,C_from_tilted_residual,0.2336223734419024,6.942173260725475e-06,0.11681117567351462,2.6456873806545756e-07,2.0000001891503363,ok,ROW_VALID
64,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,65,2.2649352281250234e-17,4.71868353762283e-16,9.540979117872439e-18,0.7071067811865475,0.46984128173792405,0.2660738484622079,NA,-0.5321476732111634,C_from_tilted_residual,0.20376745698896848,7.040972210609918e-06,0.10188371829614185,2.441416531013173e-07,2.0000002001957244,ok,ROW_VALID
16,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,4.37219596940374e-17,6.942974406408626e-17,2.7755575615628914e-17,0.7071067811865474,0.2558899429414144,0.1674586375286599,NA,-0.33491726863240756,C_from_tilted_residual,0.08843131183766673,4.3739540801992936e-06,0.04421565021408835,8.454935418797858e-07,2.0000002580418914,ok,ROW_VALID
24,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,25,6.518327183216296e-17,2.123891031984405e-16,4.85722573273506e-17,0.7071067811865475,0.19021653403581543,0.1284649302778007,NA,-0.256929856397622,C_from_tilted_residual,0.0617516079159941,4.528335867360248e-06,0.030875799658641734,1.0786824336190738e-06,2.0000002784935362,ok,ROW_VALID
32,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,33,6.425182072687261e-17,3.4651863782815367e-16,2.2551405187698492e-17,0.7071067811865476,0.152819149475186,0.10534293591929961,NA,-0.21068586766399455,C_from_tilted_residual,0.047476217730491044,4.578800406880587e-06,0.023738104849359287,1.2186469887240404e-06,2.000000338349355,ok,ROW_VALID
48,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,49,1.1601819877275542e-16,1.5515937410531292e-16,6.938893903907228e-18,0.7071067811865476,0.11119288487451844,0.07869426517000572,NA,-0.1573885287215947,C_from_tilted_residual,0.032498621322929466,4.682890230641034e-06,0.01624930835456284,1.3825303706815512e-06,2.000000283938472,ok,ROW_VALID
64,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,65,5.2067540603593384e-17,1.7031225506522343e-16,1.474514954580286e-17,0.7071067811865475,0.08824795576339875,0.06352725261208951,NA,-0.12705450308823713,C_from_tilted_residual,0.02472070528725112,4.67610143486605e-06,0.012360350358111422,1.477564615575355e-06,2.0000003698138116,ok,ROW_VALID
16,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,1.0970506347688168e-16,1.3547512877610686e-16,4.5102810375396984e-17,0.7071067811865474,0.13406607347960142,0.10087484418346071,NA,-0.20174968805829452,C_from_tilted_residual,0.033191229604767614,2.563083063351514e-06,0.016595612105024804,2.298521272289415e-06,2.000000325068938,ok,ROW_VALID
