L,reservoir_id,alpha_kernel,alpha_tail_effective,reservoir_kind,observable_kind,observable_status,affinity_mode,n_state,pi_resid,phi_resid,phi_gauge,coboundary_resid,a_mean,corrector_2hphi,two_C_explicit,two_C_residual,C_status,lambda_tilt_second,lambda_tilt_rel_spread,G_R,G_rel_spread,S_R,status,verdict
8,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,9,2.3670563381190537e-17,3.7374612158575307e-16,2.7755575615628914e-17,0.7071067811865476,1.0952201787327056,0.5930711031929142,NA,-1.1861421618937933,C_from_tilted_residual,0.5021491200318267,5.293192621884608e-06,0.25107454667550044,5.320507402795075e-07,2.00000010626655,ok,ROW_VALID
12,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,13,2.3698910283494655e-17,1.6652743639055483e-16,3.469446951953614e-18,0.7071067811865476,0.9536913327689189,0.5225312189776397,NA,-1.045062398166872,C_from_tilted_residual,0.4311601535796866,5.880256240894035e-06,0.21558006330648638,4.4606829960313044e-07,2.0000001250890898,ok,ROW_VALID
16,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,2.3733232040897088e-17,1.253368782979689e-16,3.8163916471489756e-17,0.7071067811865474,0.855344576590501,0.4721068373778494,NA,-0.944213637332831,C_from_tilted_residual,0.3832377766355194,6.206809858520623e-06,0.1916188746475811,3.946389004402161e-07,2.0000001426809195,ok,ROW_VALID
24,tail_alpha_0.5_left_transport_current,0.5,0.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,25,2.561180820584452e-17,5.477171679347453e-17,1.734723475976807e-17,0.7071067811865475,0.7254455652362714,0.4040611001689281,NA,-0.8081221666279123,C_from_tilted_residual,0.3213844987772872,6.559115899566384e-06,0.16069223612620864,3.35352976376175e-07,2.0000001650662815,ok,ROW_VALID
8,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,9,5.1750729804704517e-17,1.9390315200831498e-16,2.0816681711721685e-17,0.7071067811865476,0.4064391406352883,0.2502215619380852,NA,-0.5004431135221072,C_from_tilted_residual,0.15621758905126626,3.9365788578985076e-06,0.07810878750735828,3.5358408647905914e-07,2.0000001797051286,ok,ROW_VALID
12,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,13,7.488302229793335e-17,8.981471760150063e-17,1.734723475976807e-17,0.7071067811865476,0.3125152561742445,0.1996126024491101,NA,-0.39922519661277134,C_from_tilted_residual,0.1129026620105833,4.222370846325323e-06,0.0564513243992093,6.5454162909623e-07,2.0000002340452565,ok,ROW_VALID
16,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,4.193994743357157e-17,1.3754791693692192e-16,2.0816681711721685e-17,0.7071067811865474,0.2558898556580227,0.1674585979716174,NA,-0.33491718982466234,C_from_tilted_residual,0.08843126380497779,4.3774717394485955e-06,0.04421562635093801,8.454951438046725e-07,2.00000025111262,ok,ROW_VALID
24,tail_alpha_1_left_transport_current,1.0,1.0,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,25,7.976062780538813e-17,1.040579628372146e-16,3.469446951953614e-18,0.7071067811865475,0.1902164454170207,0.12846489044264894,NA,-0.25692977675796147,C_from_tilted_residual,0.06175155910170815,4.528914763635375e-06,0.030875775266839267,1.0786846454298676e-06,2.0000002775000643,ok,ROW_VALID
8,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,9,9.733886162226327e-17,4.628819572127219e-17,3.469446951953614e-17,0.7071067811865476,0.23793645130559093,0.16322680468000478,NA,-0.32645360525306616,C_from_tilted_residual,0.07470965073252955,2.5588577252266872e-06,0.03735482000319923,1.3289745902843988e-06,2.0000002871418223,ok,ROW_VALID
12,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,13,6.249464126746136e-17,1.0062201371437914e-16,1.3877787807814457e-17,0.7071067811865476,0.1713570530175395,0.1243388482724096,NA,-0.2486776943620756,C_from_tilted_residual,0.04701820692787351,2.5605267333032575e-06,0.023509099374496856,1.9129128674998186e-06,2.0000003479027275,ok,ROW_VALID
16,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,17,5.4961069746689604e-17,8.514943939286614e-17,3.122502256758253e-17,0.7071067811865474,0.13406607134165735,0.10087484325921284,NA,-0.20174968591980813,C_from_tilted_residual,0.03319122868106206,2.554754283383856e-06,0.016595611498188,2.2985218580780185e-06,2.000000342541524,ok,ROW_VALID
24,tail_alpha_1.5_left_transport_current,1.5,1.5,tail,left_transport_current,transport_non_coboundary,two_terminal_symmetric,25,1.5523725979550914e-16,2.183012338848988e-16,7.632783294297951e-17,0.7071067811865475,0.0936095706074489,0.07373924254089224,NA,-0.14747848426383303,C_from_tilted_residual,0.019870328884508126,2.460607141624126e-06,0.00993516218656676,2.78813587547099e-06,2.0000004540816265,ok,ROW_VALID
