Gamma,delta_f,beta,A,R2
0.5,0.1,0.9525050509539926,0.03230124139657732,0.998905542041435
0.5,0.3,0.952505050953984,0.09690372418973062,0.9989055420414357
0.5,0.5,0.9525050509539871,0.16150620698288554,0.9989055420414357
1.0,0.1,0.942685429872399,0.03133151583600135,0.9992660315175339
1.0,0.3,0.94268542987238,0.0939945475079997,0.9992660315175319
1.0,0.5,0.9426854298723896,0.15665757918000223,0.9992660315175323
1.5,0.1,0.9107843973692776,0.027080169510351686,0.9996119976504559
1.5,0.3,0.9107843973692934,0.0812405085310579,0.9996119976504566
1.5,0.5,0.9107843973692983,0.13540084755176393,0.9996119976504566
2.0,0.1,0.8782420634860807,0.023145610247321223,0.9998095788648369
2.0,0.3,0.8782420634860715,0.06943683074196222,0.9998095788648365
2.0,0.5,0.8782420634860703,0.11572805123660325,0.9998095788648367
