Gamma,delta_f,L,abs_C_mid,re_C_mid,im_C_mid
0.5,0.1,4,0.008949052600135933,-1.7160887511372125e-18,0.008949052600135933
0.5,0.1,8,0.004379678315537286,2.303929616531697e-17,0.004379678315537286
0.5,0.1,16,0.0022126003169593697,-1.1614515772750966e-17,0.0022126003169593697
0.5,0.1,32,0.0011721240324348197,2.531612072753653e-17,0.0011721240324348197
0.5,0.1,64,0.0006373066133977302,1.0770870957285683e-17,0.0006373066133977302
0.5,0.3,4,0.02684715780040782,5.075421419947768e-18,0.02684715780040782
0.5,0.3,8,0.013139034946611894,-1.496198998029996e-17,0.013139034946611894
0.5,0.3,16,0.0066378009508781775,1.8648277366750676e-17,0.0066378009508781775
0.5,0.3,32,0.00351637209730454,1.0299920638612292e-18,0.00351637209730454
0.5,0.3,64,0.0019119198401932292,4.70950318673391e-18,0.0019119198401932292
0.5,0.5,4,0.04474526300067959,2.778268066994105e-18,0.04474526300067959
0.5,0.5,8,0.021898391577686513,3.3393426912553537e-17,0.021898391577686513
0.5,0.5,16,0.011063001584796988,-1.4203048459560108e-17,0.011063001584796988
0.5,0.5,32,0.005860620162174257,1.1085967213664283e-17,0.005860620162174257
0.5,0.5,64,0.0031865330669886703,2.008484524529397e-17,0.0031865330669886703
1.0,0.1,4,0.00873529372970392,-4.1131919918668824e-18,0.00873529372970392
1.0,0.1,8,0.004352820551698308,-5.014435047745458e-18,0.004352820551698308
1.0,0.1,16,0.0022224702271721893,2.927345865710862e-18,0.0022224702271721893
1.0,0.1,32,0.0011787510599541786,-6.559423143537302e-18,0.0011787510599541786
1.0,0.1,64,0.0006398363247990663,-1.56785798536771e-17,0.0006398363247990663
1.0,0.3,4,0.026205881189111678,-1.3742262536253769e-17,0.026205881189111678
1.0,0.3,8,0.013058461655094958,1.3227266504323154e-17,0.013058461655094958
1.0,0.3,16,0.0066674106815163055,-1.0299920638612292e-18,0.0066674106815163055
1.0,0.3,32,0.0035362531798626075,1.3525422101756668e-17,0.0035362531798626075
1.0,0.3,64,0.0019195089743973006,1.4663834382866447e-17,0.0019195089743973006
1.0,0.5,4,0.04367646864851947,-2.0057740190981832e-18,0.04367646864851947
1.0,0.5,8,0.02176410275849153,-6.5052130349130266e-18,0.02176410275849153
1.0,0.5,16,0.011112351135860584,-1.360673726469308e-17,0.011112351135860584
1.0,0.5,32,0.005893755299770826,-7.318364664277155e-18,0.005893755299770826
1.0,0.5,64,0.0031991816239954436,-2.003741140024773e-17,0.0031991816239954436
1.5,0.1,4,0.00781554102027222,6.749158523722265e-18,0.00781554102027222
1.5,0.1,8,0.004043886508458572,-5.2583805365546965e-18,0.004043886508458572
1.5,0.1,16,0.002117539404251212,-6.7898161051904715e-18,0.002117539404251212
1.5,0.1,32,0.0011413399654766226,-9.690056916589196e-19,0.0011413399654766226
1.5,0.1,64,0.0006263021430493985,2.400660779108138e-17,0.0006263021430493985
1.5,0.3,4,0.02344662306081662,-6.776263578034403e-18,0.02344662306081662
1.5,0.3,8,0.01213165952537583,1.5178830414797062e-18,0.01213165952537583
1.5,0.3,16,0.006352618212753623,2.5153490401663703e-17,0.006352618212753623
1.5,0.3,32,0.0034240198964299185,-2.350008208862331e-17,0.0034240198964299185
1.5,0.3,64,0.001878906429148083,1.4860346026629445e-17,0.001878906429148083
1.5,0.5,4,0.03907770510136091,5.55653613398821e-19,0.03907770510136091
1.5,0.5,8,0.020219432542292946,-3.664603343001005e-17,0.020219432542292946
1.5,0.5,16,0.010587697021256021,-1.3986208025063007e-17,0.010587697021256021
1.5,0.5,32,0.005706699827383128,6.179952383167375e-18,0.005706699827383128
1.5,0.5,64,0.0031315107152467547,1.4901003608097652e-17,0.0031315107152467547
2.0,0.1,4,0.006936099989253726,6.556035011748285e-18,0.006936099989253726
2.0,0.1,8,0.003715218296913017,6.965998958219366e-18,0.003715218296913017
2.0,0.1,16,0.001994452957241454,2.3215479018345864e-17,0.001994452957241454
2.0,0.1,32,0.00109473306154709,3.3915199208062186e-17,0.00109473306154709
2.0,0.1,64,0.0006089300040285329,2.913793338554793e-19,0.0006089300040285329
2.0,0.3,4,0.020808299967761252,-8.775261333554552e-18,0.020808299967761252
2.0,0.3,8,0.01114565489073903,-4.662069341687669e-18,0.01114565489073903
2.0,0.3,16,0.005983358871724375,1.089623183347932e-17,0.005983358871724375
2.0,0.3,32,0.0032841991846412,1.6195269951502222e-17,0.0032841991846412
2.0,0.3,64,0.0018267900120856797,1.1655173354219173e-17,0.0018267900120856797
2.0,0.5,4,0.03468049994626869,7.724940478959219e-19,0.03468049994626869
2.0,0.5,8,0.01857609148456502,7.37257477290143e-18,0.01857609148456502
2.0,0.5,16,0.009972264786207299,5.421010862427522e-18,0.009972264786207299
2.0,0.5,32,0.00547366530773525,2.916503843986007e-17,0.00547366530773525
2.0,0.5,64,0.0030446500201428304,2.0186489198964486e-17,0.0030446500201428304

"# Fitted beta values per (Gamma, delta_f)"
Gamma,delta_f,beta,A,R2
