alpha,gamma_phi,beta,A,R2,std_err
1.1,0.01,0.16739416770886204,0.06876666536163856,0.8734015487736527,0.036794839469110524
1.1,0.1,0.7391240193301509,0.13087500756641007,0.9771192117474361,0.06530078517852939
1.1,0.5,1.1723009455426494,0.1119650963609411,0.9997550620812966,0.010593993292558007
1.1,1.0,1.2304214944968044,0.07528603669290938,0.9979591310121931,0.03212509843314677
1.1,2.0,1.2335760486539724,0.044599900368569874,0.9975589619719487,0.03523086338603079
1.3,0.01,0.16026830055043226,0.0720847168349929,0.8811274311412916,0.03398665848285457
1.3,0.1,0.7100347915322179,0.13467111388842942,0.9768585201415073,0.06309555019615855
1.3,0.5,1.0428253558404126,0.10153266526712454,0.9994252000267445,0.014438902263687969
1.3,1.0,1.0803351235128194,0.06680331738294562,0.9973790749792085,0.03197385792101626
1.3,2.0,1.10596919150749,0.04085811293395532,0.997139970423913,0.034197125429289155
1.5,0.01,0.1543153135192788,0.07447700179516886,0.88647832558211,0.031882600071750554
1.5,0.1,0.675028308798399,0.13406764392516599,0.9781917778750842,0.05819149112548528
1.5,0.5,0.94268542987238,0.0939945475079997,0.9992660315175319,0.014750417424439229
1.5,1.0,0.9973837822379774,0.06427200798477448,0.9979799499668822,0.025907280656935785
1.5,2.0,1.0395839325851435,0.040161915807443625,0.9977017132946234,0.02880717524818959
1.7,0.01,0.14927158237222693,0.07620140631912456,0.8901457890955313,0.030275706946805325
1.7,0.1,0.6358526352391544,0.1303834350484015,0.9807689924941613,0.05140596348212472
1.7,0.5,0.8912282034920748,0.09275173118907293,0.9997545565138344,0.00806227028326546
1.7,1.0,0.9616446475844351,0.06527595284431675,0.9989947483390056,0.017612045081321012
1.7,2.0,1.0117410558889695,0.0410724708813499,0.9985484924645527,0.022270697225824893
1.9,0.01,0.14496138447125886,0.07743769200256155,0.8926884119827534,0.029017838748421537
1.9,0.1,0.6015463300343854,0.1266499430912108,0.9826465084216045,0.0461533501940112
1.9,0.5,0.8715120415083251,0.09494052395993657,0.9999598798302262,0.0031871526002734446
1.9,1.0,0.9505919920205526,0.06769959363382477,0.999639896585711,0.01041658478544808
1.9,2.0,1.0039740379515105,0.0426095175942294,0.9991815684223739,0.016589406028289125
