L,alpha,gamma_phi,abs_C_mid,re_C_mid,im_C_mid
4,1.1,0.01,0.05085539165641905,1.9949319973733282e-17,0.05085539165641905
4,1.1,0.1,0.041091041249316076,1.2750217548429532e-16,0.041091041249316076
4,1.1,0.5,0.022596596488041167,-2.9083723276923656e-17,0.022596596488041167
4,1.1,1.0,0.014690370120050273,-1.4568966692773966e-18,0.014690370120050273
4,1.1,2.0,0.008730314372226534,-2.2802126940085765e-18,0.008730314372226534
4,1.3,0.01,0.05418670098561511,1.0408340855860843e-16,0.05418670098561511
4,1.3,0.1,0.044161544857911704,-1.431146867680866e-17,0.044161544857911704
4,1.3,0.5,0.024619434639308664,-1.3037531124138191e-17,0.024619434639308664
4,1.3,1.0,0.0160467570829433,6.7898161051904715e-18,0.0160467570829433
4,1.3,2.0,0.009529746535587087,1.835520396700069e-18,0.009529746535587087
4,1.5,0.01,0.05671366516822611,6.071532165918825e-17,0.05671366516822611
4,1.5,0.1,0.046527326705746844,1.0495077029659683e-16,0.046527326705746844
4,1.5,0.5,0.026205881189111678,-1.3742262536253769e-17,0.026205881189111678
4,1.5,1.0,0.017111736286264372,-6.0308745844506184e-18,0.017111736286264372
4,1.5,2.0,0.010156327460470453,-1.929117537371669e-18,0.010156327460470453
4,1.7,0.01,0.05863524703593685,-1.8214596497756474e-17,0.05863524703593685
4,1.7,0.1,0.04834615063383222,4.466912950640278e-17,0.04834615063383222
4,1.7,0.5,0.02743958713279411,1.634434775021898e-17,0.02743958713279411
4,1.7,1.0,0.01794014277918936,-1.768604793866979e-18,0.01794014277918936
4,1.7,2.0,0.010643076788714255,3.392366953753473e-19,0.010643076788714255
4,1.9,0.01,0.06009836846472082,3.469446951953614e-18,0.06009836846472082
4,1.9,0.1,0.04974140699747153,1.6479873021779667e-17,0.04974140699747153
4,1.9,0.5,0.02839269516358355,6.451002926288751e-18,0.02839269516358355
4,1.9,1.0,0.018580010529949002,4.126744519022951e-18,0.018580010529949002
4,1.9,2.0,0.011018693016020467,-8.415272330971474e-19,0.011018693016020467
8,1.1,0.01,0.049968401076529,6.106226635438361e-16,0.049968401076529
8,1.1,0.1,0.03010862397583567,-1.0408340855860843e-17,0.03010862397583567
8,1.1,0.5,0.009582897446643365,-6.451002926288751e-18,0.009582897446643365
8,1.1,1.0,0.0055549173173171955,8.964996713739515e-18,0.0055549173173171955
8,1.1,2.0,0.0032481574999017396,4.462169566135654e-18,0.0032481574999017396
8,1.3,0.01,0.05293368888873843,-2.0773313624822265e-16,0.05293368888873843
8,1.3,0.1,0.03293250132704367,-1.1796119636642288e-16,0.03293250132704367
8,1.3,0.5,0.011448889732833025,1.7943545954635098e-17,0.011448889732833025
8,1.3,1.0,0.006734868764026199,6.003769530138481e-18,0.006734868764026199
8,1.3,2.0,0.003878466264852728,-3.0188254240143264e-18,0.003878466264852728
8,1.5,0.01,0.05521086036665658,-1.2967057982926633e-16,0.05521086036665658
8,1.5,0.1,0.03521942503372777,-7.892991815694472e-17,0.03521942503372777
8,1.5,0.5,0.013058461655094958,1.3227266504323154e-17,0.013058461655094958
8,1.5,1.0,0.007735667339895414,5.4616684438957286e-18,0.007735667339895414
8,1.5,2.0,0.00439910773106938,6.435332816764547e-18,0.00439910773106938
8,1.7,0.01,0.056972651367552106,-1.3444106938820255e-17,0.056972651367552106
8,1.7,0.1,0.037066021320572705,-2.7755575615628914e-17,0.037066021320572705
8,1.7,0.5,0.014383146073304648,-1.0462550964485118e-17,0.014383146073304648
8,1.7,1.0,0.00853526971614133,8.158621347953421e-18,0.00853526971614133
8,1.7,2.0,0.004804475114194129,6.361217433879796e-19,0.004804475114194129
8,1.9,0.01,0.05834042368440532,-2.1304572689340162e-16,0.05834042368440532
8,1.9,0.1,0.03854656890263447,-1.691355389077387e-17,0.03854656890263447
8,1.9,0.5,0.015431692312759645,4.824699667560495e-18,0.015431692312759645
8,1.9,1.0,0.009146355557080592,-2.7850443305721395e-18,0.009146355557080592
8,1.9,2.0,0.005106821214170783,1.6686549060909717e-18,0.005106821214170783
16,1.1,0.01,0.04646474485648805,8.291978215169138e-16,0.04646474485648805
16,1.1,0.1,0.019330865475133106,-4.0332320816460765e-17,0.019330865475133106
16,1.1,0.5,0.004270489463535547,2.927345865710862e-17,0.004270489463535547
16,1.1,1.0,0.0023355236177292826,4.5028271476038606e-18,0.0023355236177292826
16,1.1,2.0,0.0013643749828238343,7.35542235571953e-18,0.0013643749828238343
16,1.3,0.01,0.04941295185956533,-2.404760418572849e-16,0.04941295185956533
16,1.3,0.1,0.02146369245556558,-1.3183898417423734e-16,0.02146369245556558
16,1.3,0.5,0.005477209365550149,-2.5722696542218593e-17,0.005477209365550149
16,1.3,1.0,0.003140733869881091,-1.1519648082658485e-17,0.003140733869881091
16,1.3,2.0,0.001784882268323715,-5.105491089575295e-19,0.001784882268323715
16,1.5,0.01,0.05169242751827497,-4.453902524570452e-16,0.05169242751827497
16,1.5,0.1,0.02332035147544878,-1.9125326322644298e-16,0.02332035147544878
16,1.5,0.5,0.0066674106815163055,-1.0299920638612292e-18,0.0066674106815163055
16,1.5,1.0,0.0038527454582285028,-2.5478751053409354e-18,0.0038527454582285028
16,1.5,2.0,0.0021337153028353944,-2.2370140136986072e-18,0.0021337153028353944
16,1.7,0.01,0.05346718930312752,2.3635607360183997e-16,0.05346718930312752
16,1.7,0.1,0.02493565658604459,-3.859759734048396e-17,0.02493565658604459
16,1.7,0.5,0.007690650172805626,5.149960319306146e-18,0.007690650172805626
16,1.7,1.0,0.004401205779627891,-7.399679827213568e-18,0.004401205779627891
16,1.7,2.0,0.002390192925689252,3.1253398171315547e-18,0.002390192925689252
16,1.9,0.01,0.05485367690642412,-1.0802990446645566e-15,0.05485367690642412
16,1.9,0.1,0.026325064450543043,2.6454533008646308e-17,0.026325064450543043
16,1.9,0.5,0.008473423768155313,1.5151725360484924e-17,0.008473423768155313
16,1.9,1.0,0.004784155085135085,-6.521306660910858e-18,0.004784155085135085
16,1.9,2.0,0.002563449946928476,-3.145033333155217e-18,0.002563449946928476
32,1.1,0.01,0.04039970533951205,1.2750217548429532e-15,0.04039970533951205
32,1.1,0.1,0.010716384350930145,1.9081958235744878e-17,0.010716384350930145
32,1.1,0.5,0.0019154736102900026,-4.934475137524652e-17,0.0019154736102900026
32,1.1,1.0,0.0010384814909694547,-1.5768365346086055e-17,0.0010384814909694547
32,1.1,2.0,0.0006083294528515199,1.395317374012009e-17,0.0006083294528515199
32,1.3,0.01,0.04331278107794399,8.68229099726392e-16,0.04331278107794399
32,1.3,0.1,0.012134764671891916,-9.6710833785707e-17,0.012134764671891916
32,1.3,0.5,0.0026908246188939353,-3.924811864397526e-17,0.0026908246188939353
32,1.3,1.0,0.001552326846133992,1.5246593050577406e-18,0.001552326846133992
32,1.3,2.0,0.0008696838656732655,4.9214731817842985e-18,0.0008696838656732655
32,1.5,0.01,0.04559712353940285,-7.840950111415168e-16,0.04559712353940285
32,1.5,0.1,0.013504463549744836,1.0842021724855044e-17,0.013504463549744836
32,1.5,0.5,0.0035362531798626075,1.3525422101756668e-17,0.0035362531798626075
32,1.5,1.0,0.0020078686991512468,1.1120695564501709e-17,0.0020078686991512468
32,1.5,2.0,0.0010825607962964257,4.879333292658397e-18,0.0010825607962964257
32,1.7,0.01,0.0473984469737468,2.975050761300224e-16,0.0473984469737468
32,1.7,0.1,0.014855441802637339,-1.0668549377257364e-16,0.014855441802637339
32,1.7,0.5,0.004223081856452933,6.159623592433272e-18,0.004223081856452933
32,1.7,1.0,0.002327646364361279,3.0052728968582576e-18,0.002327646364361279
32,1.7,2.0,0.0012260370478389402,-5.97412337698458e-18,0.0012260370478389402
32,1.9,0.01,0.04882264504924938,5.260006839813425e-16,0.04882264504924938
32,1.9,0.1,0.016142730146462437,-2.7755575615628914e-17,0.016142730146462437
32,1.9,0.5,0.004675125364720402,-1.3295029140103498e-17,0.004675125364720402
32,1.9,1.0,0.002521279302244348,-1.0130514049161432e-18,0.002521279302244348
32,1.9,2.0,0.0013111584695138516,2.8588420761016704e-18,0.0013111584695138516
64,1.1,0.01,0.03166228859374367,-9.71445146547012e-16,0.03166228859374367
64,1.1,0.1,0.005315889660934903,-5.746271514173174e-17,0.005315889660934903
64,1.1,0.5,0.000869289875231737,2.423869481862906e-17,0.000869289875231737
64,1.1,1.0,0.0004777528333969968,1.4060746924421386e-17,0.0004777528333969968
64,1.1,2.0,0.000280583441420551,6.313413011919131e-18,0.000280583441420551
64,1.3,0.01,0.0343734344308808,1.1345091532888318e-15,0.0343734344308808
64,1.3,0.1,0.006210578937625605,-3.0791341698588326e-17,0.006210578937625605
64,1.3,0.5,0.0013680705809010043,-3.6422416731934915e-17,0.0013680705809010043
64,1.3,1.0,0.000790667477110479,6.357829302090778e-18,0.000790667477110479
64,1.3,2.0,0.000435593256486327,-2.997914298128986e-18,0.000435593256486327
64,1.5,0.01,0.036556411580949126,-8.569533971325427e-16,0.036556411580949126
64,1.5,0.1,0.0072417198228406,9.75781955236954e-17,0.0072417198228406
64,1.5,0.5,0.0019195089743973006,1.4663834382866447e-17,0.0019195089743973006
64,1.5,1.0,0.0010591638224415746,4.233470670376993e-18,0.0010591638224415746
64,1.5,2.0,0.0005577802240686741,2.193815333388638e-19,0.0005577802240686741
64,1.7,0.01,0.038320732291992905,8.283304597789254e-17,0.038320732291992905
64,1.7,0.1,0.00843050363862044,5.355958732078392e-17,0.00843050363862044
64,1.7,0.5,0.0023070534540109416,-2.2005915969666723e-17,0.0023070534540109416
64,1.7,1.0,0.0012261866958808527,3.1069168505287736e-18,0.0012261866958808527
64,1.7,2.0,0.0006321444720191944,9.412653626363413e-19,0.0006321444720191944
64,1.9,0.01,0.03975101245305329,3.885780586188048e-16,0.03975101245305329
64,1.9,0.1,0.009556634799143912,-2.5370330836160804e-17,0.009556634799143912
64,1.9,0.5,0.002516288521497695,-1.0093244599482243e-17,0.002516288521497695
64,1.9,1.0,0.0013124295506969632,3.584643432780199e-18,0.0013124295506969632
64,1.9,2.0,0.0006702646525237998,8.071165196149414e-19,0.0006702646525237998
