TH_TC,w23_w13,gH_gC,omega12,omega23,E_analytic,E_analytic_phys,E_numeric,rel_dev
1.5,0.1,0.1,0.9,0.1,5.56501016e-03,5.56501016e-03,5.56501016e-03,6.234e-16
1.5,0.1,0.3,0.9,0.1,5.56501016e-03,5.56501016e-03,5.56501016e-03,6.234e-16
1.5,0.1,1,0.9,0.1,5.56501016e-03,5.56501016e-03,5.56501016e-03,6.234e-16
1.5,0.1,3,0.9,0.1,5.56501016e-03,5.56501016e-03,5.56501016e-03,6.234e-16
1.5,0.1,10,0.9,0.1,5.56501016e-03,5.56501016e-03,5.56501016e-03,6.234e-16
2,0.1,0.1,0.9,0.1,9.93298734e-03,9.93298734e-03,9.93298734e-03,4.541e-15
2,0.1,0.3,0.9,0.1,9.93298734e-03,9.93298734e-03,9.93298734e-03,4.541e-15
2,0.1,1,0.9,0.1,9.93298734e-03,9.93298734e-03,9.93298734e-03,4.541e-15
2,0.1,3,0.9,0.1,9.93298734e-03,9.93298734e-03,9.93298734e-03,4.541e-15
2,0.1,10,0.9,0.1,9.93298734e-03,9.93298734e-03,9.93298734e-03,4.541e-15
3,0.1,0.1,0.9,0.1,1.45994776e-02,1.45994776e-02,1.45994776e-02,2.852e-15
3,0.1,0.3,0.9,0.1,1.45994776e-02,1.45994776e-02,1.45994776e-02,4.753e-15
3,0.1,1,0.9,0.1,1.45994776e-02,1.45994776e-02,1.45994776e-02,2.852e-15
3,0.1,3,0.9,0.1,1.45994776e-02,1.45994776e-02,1.45994776e-02,2.852e-15
3,0.1,10,0.9,0.1,1.45994776e-02,1.45994776e-02,1.45994776e-02,2.852e-15
4,0.1,0.1,0.9,0.1,1.70328616e-02,1.70328616e-02,1.70328616e-02,3.463e-15
4,0.1,0.3,0.9,0.1,1.70328616e-02,1.70328616e-02,1.70328616e-02,3.463e-15
4,0.1,1,0.9,0.1,1.70328616e-02,1.70328616e-02,1.70328616e-02,3.055e-15
4,0.1,3,0.9,0.1,1.70328616e-02,1.70328616e-02,1.70328616e-02,3.055e-15
4,0.1,10,0.9,0.1,1.70328616e-02,1.70328616e-02,1.70328616e-02,3.055e-15
5,0.1,0.1,0.9,0.1,1.85215934e-02,1.85215934e-02,1.85215934e-02,2.997e-15
5,0.1,0.3,0.9,0.1,1.85215934e-02,1.85215934e-02,1.85215934e-02,2.997e-15
5,0.1,1,0.9,0.1,1.85215934e-02,1.85215934e-02,1.85215934e-02,2.997e-15
5,0.1,3,0.9,0.1,1.85215934e-02,1.85215934e-02,1.85215934e-02,2.997e-15
5,0.1,10,0.9,0.1,1.85215934e-02,1.85215934e-02,1.85215934e-02,2.997e-15
7,0.1,0.1,0.9,0.1,2.02471457e-02,2.02471457e-02,2.02471457e-02,0.000e+00
7,0.1,0.3,0.9,0.1,2.02471457e-02,2.02471457e-02,2.02471457e-02,0.000e+00
7,0.1,1,0.9,0.1,2.02471457e-02,2.02471457e-02,2.02471457e-02,0.000e+00
7,0.1,3,0.9,0.1,2.02471457e-02,2.02471457e-02,2.02471457e-02,0.000e+00
7,0.1,10,0.9,0.1,2.02471457e-02,2.02471457e-02,2.02471457e-02,0.000e+00
10,0.1,0.1,0.9,0.1,2.15569020e-02,2.15569020e-02,2.15569020e-02,4.828e-16
10,0.1,0.3,0.9,0.1,2.15569020e-02,2.15569020e-02,2.15569020e-02,4.828e-16
10,0.1,1,0.9,0.1,2.15569020e-02,2.15569020e-02,2.15569020e-02,4.828e-16
10,0.1,3,0.9,0.1,2.15569020e-02,2.15569020e-02,2.15569020e-02,4.828e-16
10,0.1,10,0.9,0.1,2.15569020e-02,2.15569020e-02,2.15569020e-02,4.828e-16
15,0.1,0.1,0.9,0.1,2.25841168e-02,2.25841168e-02,2.25841168e-02,4.609e-16
15,0.1,0.3,0.9,0.1,2.25841168e-02,2.25841168e-02,2.25841168e-02,5.377e-15
15,0.1,1,0.9,0.1,2.25841168e-02,2.25841168e-02,2.25841168e-02,4.609e-16
15,0.1,3,0.9,0.1,2.25841168e-02,2.25841168e-02,2.25841168e-02,4.609e-16
15,0.1,10,0.9,0.1,2.25841168e-02,2.25841168e-02,2.25841168e-02,4.609e-16
20,0.1,0.1,0.9,0.1,2.31003468e-02,2.31003468e-02,2.31003468e-02,3.454e-15
20,0.1,0.3,0.9,0.1,2.31003468e-02,2.31003468e-02,2.31003468e-02,1.352e-15
20,0.1,1,0.9,0.1,2.31003468e-02,2.31003468e-02,2.31003468e-02,1.352e-15
20,0.1,3,0.9,0.1,2.31003468e-02,2.31003468e-02,2.31003468e-02,1.352e-15
20,0.1,10,0.9,0.1,2.31003468e-02,2.31003468e-02,2.31003468e-02,3.454e-15
1.5,0.2,0.1,0.8,0.2,6.53045806e-03,6.53045806e-03,6.53045806e-03,8.899e-15
1.5,0.2,0.3,0.8,0.2,6.53045806e-03,6.53045806e-03,6.53045806e-03,8.102e-15
1.5,0.2,1,0.8,0.2,6.53045806e-03,6.53045806e-03,6.53045806e-03,3.985e-16
1.5,0.2,3,0.8,0.2,6.53045806e-03,6.53045806e-03,6.53045806e-03,3.985e-16
1.5,0.2,10,0.8,0.2,6.53045806e-03,6.53045806e-03,6.53045806e-03,3.985e-16
2,0.2,0.1,0.8,0.2,1.52930379e-02,1.52930379e-02,1.52930379e-02,2.836e-15
2,0.2,0.3,0.8,0.2,1.52930379e-02,1.52930379e-02,1.52930379e-02,4.424e-15
2,0.2,1,0.8,0.2,1.52930379e-02,1.52930379e-02,1.52930379e-02,4.424e-15
2,0.2,3,0.8,0.2,1.52930379e-02,1.52930379e-02,1.52930379e-02,7.940e-16
2,0.2,10,0.8,0.2,1.52930379e-02,1.52930379e-02,1.52930379e-02,2.836e-15
3,0.2,0.1,0.8,0.2,2.46740152e-02,2.46740152e-02,2.46740152e-02,7.031e-16
3,0.2,0.3,0.8,0.2,2.46740152e-02,2.46740152e-02,2.46740152e-02,7.031e-16
3,0.2,1,0.8,0.2,2.46740152e-02,2.46740152e-02,2.46740152e-02,7.031e-16
3,0.2,3,0.8,0.2,2.46740152e-02,2.46740152e-02,2.46740152e-02,7.031e-16
3,0.2,10,0.8,0.2,2.46740152e-02,2.46740152e-02,2.46740152e-02,7.031e-16
4,0.2,0.1,0.8,0.2,2.95738450e-02,2.95738450e-02,2.95738450e-02,1.173e-15
4,0.2,0.3,0.8,0.2,2.95738450e-02,2.95738450e-02,2.95738450e-02,1.173e-15
4,0.2,1,0.8,0.2,2.95738450e-02,2.95738450e-02,2.95738450e-02,1.173e-15
4,0.2,3,0.8,0.2,2.95738450e-02,2.95738450e-02,2.95738450e-02,7.039e-16
4,0.2,10,0.8,0.2,2.95738450e-02,2.95738450e-02,2.95738450e-02,2.581e-15
5,0.2,0.1,0.8,0.2,3.25742560e-02,3.25742560e-02,3.25742560e-02,1.065e-15
5,0.2,0.3,0.8,0.2,3.25742560e-02,3.25742560e-02,3.25742560e-02,2.343e-15
5,0.2,1,0.8,0.2,3.25742560e-02,3.25742560e-02,3.25742560e-02,6.391e-16
5,0.2,3,0.8,0.2,3.25742560e-02,3.25742560e-02,3.25742560e-02,6.391e-16
5,0.2,10,0.8,0.2,3.25742560e-02,3.25742560e-02,3.25742560e-02,1.065e-15
7,0.2,0.1,0.8,0.2,3.60545461e-02,3.60545461e-02,3.60545461e-02,1.540e-15
7,0.2,0.3,0.8,0.2,3.60545461e-02,3.60545461e-02,3.60545461e-02,0.000e+00
7,0.2,1,0.8,0.2,3.60545461e-02,3.60545461e-02,3.60545461e-02,3.079e-15
7,0.2,3,0.8,0.2,3.60545461e-02,3.60545461e-02,3.60545461e-02,1.540e-15
7,0.2,10,0.8,0.2,3.60545461e-02,3.60545461e-02,3.60545461e-02,0.000e+00
10,0.2,0.1,0.8,0.2,3.86980680e-02,3.86980680e-02,3.86980680e-02,1.793e-16
10,0.2,0.3,0.8,0.2,3.86980680e-02,3.86980680e-02,3.86980680e-02,1.614e-15
10,0.2,1,0.8,0.2,3.86980680e-02,3.86980680e-02,3.86980680e-02,1.793e-16
10,0.2,3,0.8,0.2,3.86980680e-02,3.86980680e-02,3.86980680e-02,1.793e-16
10,0.2,10,0.8,0.2,3.86980680e-02,3.86980680e-02,3.86980680e-02,1.614e-15
15,0.2,0.1,0.8,0.2,4.07724499e-02,4.07724499e-02,4.07724499e-02,1.021e-15
15,0.2,0.3,0.8,0.2,4.07724499e-02,4.07724499e-02,4.07724499e-02,1.702e-15
15,0.2,1,0.8,0.2,4.07724499e-02,4.07724499e-02,4.07724499e-02,3.744e-15
15,0.2,3,0.8,0.2,4.07724499e-02,4.07724499e-02,4.07724499e-02,3.744e-15
15,0.2,10,0.8,0.2,4.07724499e-02,4.07724499e-02,4.07724499e-02,1.702e-15
20,0.2,0.1,0.8,0.2,4.18153095e-02,4.18153095e-02,4.18153095e-02,1.493e-15
20,0.2,0.3,0.8,0.2,4.18153095e-02,4.18153095e-02,4.18153095e-02,1.493e-15
20,0.2,1,0.8,0.2,4.18153095e-02,4.18153095e-02,4.18153095e-02,1.162e-15
20,0.2,3,0.8,0.2,4.18153095e-02,4.18153095e-02,4.18153095e-02,1.162e-15
20,0.2,10,0.8,0.2,4.18153095e-02,4.18153095e-02,4.18153095e-02,1.493e-15
1.5,0.3,0.1,0.7,0.3,2.51220820e-03,2.51220820e-03,2.51220820e-03,3.453e-14
1.5,0.3,0.3,0.7,0.3,2.51220820e-03,2.51220820e-03,2.51220820e-03,3.453e-14
1.5,0.3,1,0.7,0.3,2.51220820e-03,2.51220820e-03,2.51220820e-03,3.453e-14
1.5,0.3,3,0.7,0.3,2.51220820e-03,2.51220820e-03,2.51220820e-03,9.667e-15
1.5,0.3,10,0.7,0.3,2.51220820e-03,2.51220820e-03,2.51220820e-03,1.243e-14
2,0.3,0.1,0.7,0.3,1.56832088e-02,1.56832088e-02,1.56832088e-02,1.327e-15
2,0.3,0.3,0.7,0.3,1.56832088e-02,1.56832088e-02,1.56832088e-02,1.327e-15
2,0.3,1,0.7,0.3,1.56832088e-02,1.56832088e-02,1.56832088e-02,1.327e-15
2,0.3,3,0.7,0.3,1.56832088e-02,1.56832088e-02,1.56832088e-02,1.327e-15
2,0.3,10,0.7,0.3,1.56832088e-02,1.56832088e-02,1.56832088e-02,4.867e-15
3,0.3,0.1,0.7,0.3,2.98148781e-02,2.98148781e-02,2.98148781e-02,1.164e-16
3,0.3,0.3,0.7,0.3,2.98148781e-02,2.98148781e-02,2.98148781e-02,1.164e-16
3,0.3,1,0.7,0.3,2.98148781e-02,2.98148781e-02,2.98148781e-02,3.607e-15
3,0.3,3,0.7,0.3,2.98148781e-02,2.98148781e-02,2.98148781e-02,3.607e-15
3,0.3,10,0.7,0.3,2.98148781e-02,2.98148781e-02,2.98148781e-02,1.164e-16
4,0.3,0.1,0.7,0.3,3.72089134e-02,3.72089134e-02,3.72089134e-02,9.324e-16
4,0.3,0.3,0.7,0.3,3.72089134e-02,3.72089134e-02,3.72089134e-02,9.324e-16
4,0.3,1,0.7,0.3,3.72089134e-02,3.72089134e-02,3.72089134e-02,2.051e-15
4,0.3,3,0.7,0.3,3.72089134e-02,3.72089134e-02,3.72089134e-02,9.324e-16
4,0.3,10,0.7,0.3,3.72089134e-02,3.72089134e-02,3.72089134e-02,3.916e-15
5,0.3,0.1,0.7,0.3,4.17410118e-02,4.17410118e-02,4.17410118e-02,4.987e-16
5,0.3,0.3,0.7,0.3,4.17410118e-02,4.17410118e-02,4.17410118e-02,2.161e-15
5,0.3,1,0.7,0.3,4.17410118e-02,4.17410118e-02,4.17410118e-02,2.161e-15
5,0.3,3,0.7,0.3,4.17410118e-02,4.17410118e-02,4.17410118e-02,2.161e-15
5,0.3,10,0.7,0.3,4.17410118e-02,4.17410118e-02,4.17410118e-02,4.987e-16
7,0.3,0.1,0.7,0.3,4.70021190e-02,4.70021190e-02,4.70021190e-02,1.624e-15
7,0.3,0.3,0.7,0.3,4.70021190e-02,4.70021190e-02,4.70021190e-02,1.919e-15
7,0.3,1,0.7,0.3,4.70021190e-02,4.70021190e-02,4.70021190e-02,4.429e-16
7,0.3,3,0.7,0.3,4.70021190e-02,4.70021190e-02,4.70021190e-02,4.429e-16
7,0.3,10,0.7,0.3,4.70021190e-02,4.70021190e-02,4.70021190e-02,1.624e-15
10,0.3,0.1,0.7,0.3,5.10012807e-02,5.10012807e-02,5.10012807e-02,2.993e-15
10,0.3,0.3,0.7,0.3,5.10012807e-02,5.10012807e-02,5.10012807e-02,2.993e-15
10,0.3,1,0.7,0.3,5.10012807e-02,5.10012807e-02,5.10012807e-02,8.163e-16
10,0.3,3,0.7,0.3,5.10012807e-02,5.10012807e-02,5.10012807e-02,1.905e-15
10,0.3,10,0.7,0.3,5.10012807e-02,5.10012807e-02,5.10012807e-02,8.163e-16
15,0.3,0.1,0.7,0.3,5.41412450e-02,5.41412450e-02,5.41412450e-02,1.794e-15
15,0.3,0.3,0.7,0.3,5.41412450e-02,5.41412450e-02,5.41412450e-02,1.794e-15
15,0.3,1,0.7,0.3,5.41412450e-02,5.41412450e-02,5.41412450e-02,2.563e-16
15,0.3,3,0.7,0.3,5.41412450e-02,5.41412450e-02,5.41412450e-02,2.563e-16
15,0.3,10,0.7,0.3,5.41412450e-02,5.41412450e-02,5.41412450e-02,2.563e-16
20,0.3,0.1,0.7,0.3,5.57204083e-02,5.57204083e-02,5.57204083e-02,2.491e-16
20,0.3,0.3,0.7,0.3,5.57204083e-02,5.57204083e-02,5.57204083e-02,2.491e-16
20,0.3,1,0.7,0.3,5.57204083e-02,5.57204083e-02,5.57204083e-02,2.491e-16
20,0.3,3,0.7,0.3,5.57204083e-02,5.57204083e-02,5.57204083e-02,1.743e-15
20,0.3,10,0.7,0.3,5.57204083e-02,5.57204083e-02,5.57204083e-02,1.743e-15
1.5,0.4,0.1,0.6,0.4,-6.86529406e-03,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.4,0.3,0.6,0.4,-6.86529406e-03,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.4,1,0.6,0.4,-6.86529406e-03,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.4,3,0.6,0.4,-6.86529406e-03,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.4,10,0.6,0.4,-6.86529406e-03,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.4,0.1,0.6,0.4,1.07118064e-02,1.07118064e-02,1.07118064e-02,4.534e-15
2,0.4,0.3,0.6,0.4,1.07118064e-02,1.07118064e-02,1.07118064e-02,6.478e-16
2,0.4,1,0.6,0.4,1.07118064e-02,1.07118064e-02,1.07118064e-02,5.830e-15
2,0.4,3,0.6,0.4,1.07118064e-02,1.07118064e-02,1.07118064e-02,4.534e-15
2,0.4,10,0.6,0.4,1.07118064e-02,1.07118064e-02,1.07118064e-02,4.534e-15
3,0.4,0.1,0.6,0.4,2.96148845e-02,2.96148845e-02,2.96148845e-02,1.406e-15
3,0.4,0.3,0.6,0.4,2.96148845e-02,2.96148845e-02,2.96148845e-02,4.217e-15
3,0.4,1,0.6,0.4,2.96148845e-02,2.96148845e-02,2.96148845e-02,1.406e-15
3,0.4,3,0.6,0.4,2.96148845e-02,2.96148845e-02,2.96148845e-02,4.686e-16
3,0.4,10,0.6,0.4,2.96148845e-02,2.96148845e-02,2.96148845e-02,2.343e-15
4,0.4,0.1,0.6,0.4,3.95236157e-02,3.95236157e-02,3.95236157e-02,1.756e-15
4,0.4,0.3,0.6,0.4,3.95236157e-02,3.95236157e-02,3.95236157e-02,3.511e-16
4,0.4,1,0.6,0.4,3.95236157e-02,3.95236157e-02,3.95236157e-02,1.756e-15
4,0.4,3,0.6,0.4,3.95236157e-02,3.95236157e-02,3.95236157e-02,1.756e-15
4,0.4,10,0.6,0.4,3.95236157e-02,3.95236157e-02,3.95236157e-02,3.511e-16
5,0.4,0.1,0.6,0.4,4.56032582e-02,4.56032582e-02,4.56032582e-02,1.826e-15
5,0.4,0.3,0.6,0.4,4.56032582e-02,4.56032582e-02,4.56032582e-02,6.086e-16
5,0.4,1,0.6,0.4,4.56032582e-02,4.56032582e-02,4.56032582e-02,6.086e-16
5,0.4,3,0.6,0.4,4.56032582e-02,4.56032582e-02,4.56032582e-02,3.043e-15
5,0.4,10,0.6,0.4,4.56032582e-02,4.56032582e-02,4.56032582e-02,6.086e-16
7,0.4,0.1,0.6,0.4,5.26667453e-02,5.26667453e-02,5.26667453e-02,5.270e-16
7,0.4,0.3,0.6,0.4,5.26667453e-02,5.26667453e-02,5.26667453e-02,1.581e-15
7,0.4,1,0.6,0.4,5.26667453e-02,5.26667453e-02,5.26667453e-02,1.581e-15
7,0.4,3,0.6,0.4,5.26667453e-02,5.26667453e-02,5.26667453e-02,5.270e-16
7,0.4,10,0.6,0.4,5.26667453e-02,5.26667453e-02,5.26667453e-02,5.270e-16
10,0.4,0.1,0.6,0.4,5.80402126e-02,5.80402126e-02,5.80402126e-02,1.554e-15
10,0.4,0.3,0.6,0.4,5.80402126e-02,5.80402126e-02,5.80402126e-02,1.315e-15
10,0.4,1,0.6,0.4,5.80402126e-02,5.80402126e-02,5.80402126e-02,3.228e-15
10,0.4,3,0.6,0.4,5.80402126e-02,5.80402126e-02,5.80402126e-02,1.315e-15
10,0.4,10,0.6,0.4,5.80402126e-02,5.80402126e-02,5.80402126e-02,1.554e-15
15,0.4,0.1,0.6,0.4,6.22617962e-02,6.22617962e-02,6.22617962e-02,2.898e-15
15,0.4,0.3,0.6,0.4,6.22617962e-02,6.22617962e-02,6.22617962e-02,1.114e-15
15,0.4,1,0.6,0.4,6.22617962e-02,6.22617962e-02,6.22617962e-02,1.114e-15
15,0.4,3,0.6,0.4,6.22617962e-02,6.22617962e-02,6.22617962e-02,1.114e-15
15,0.4,10,0.6,0.4,6.22617962e-02,6.22617962e-02,6.22617962e-02,1.114e-15
20,0.4,0.1,0.6,0.4,6.43857887e-02,6.43857887e-02,6.43857887e-02,8.622e-16
20,0.4,0.3,0.6,0.4,6.43857887e-02,6.43857887e-02,6.43857887e-02,8.622e-16
20,0.4,1,0.6,0.4,6.43857887e-02,6.43857887e-02,6.43857887e-02,0.000e+00
20,0.4,3,0.6,0.4,6.43857887e-02,6.43857887e-02,6.43857887e-02,1.724e-15
20,0.4,10,0.6,0.4,6.43857887e-02,6.43857887e-02,6.43857887e-02,8.622e-16
1.5,0.5,0.1,0.5,0.5,-2.19612817e-02,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.5,0.3,0.5,0.5,-2.19612817e-02,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.5,1,0.5,0.5,-2.19612817e-02,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.5,3,0.5,0.5,-2.19612817e-02,0.00000000e+00,0.00000000e+00,0.000e+00
1.5,0.5,10,0.5,0.5,-2.19612817e-02,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.5,0.1,0.5,0.5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.5,0.3,0.5,0.5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00
2,0.5,1,0.5,0.5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.000e+00
