ensemble,seed,i,j,r_angstrom,is_edge_sharing,is_corner_sharing,f_OO_local,t_eV,kept_t_gt_tmin
G_good,2903000,0,5,3.041944,0,1,0.0,1.758574,1
G_good,2903000,0,44,3.64632,1,0,0.002154,0.689619,1
G_good,2903000,1,5,4.119688,1,0,0.0,0.292884,0
G_good,2903000,1,36,2.886991,0,1,0.0,2.330858,1
G_good,2903000,1,49,3.753302,0,1,0.0,0.482451,1
G_good,2903000,2,12,3.939237,1,0,0.000645,0.406092,1
G_good,2903000,2,21,3.60511,0,1,0.001989,0.629132,1
G_good,2903000,2,43,3.463168,1,0,0.0,0.966277,1
G_good,2903000,3,16,3.334062,0,1,0.001068,1.031736,1
G_good,2903000,3,22,3.528482,0,1,0.001434,0.723989,1
G_good,2903000,3,35,3.945847,0,1,0.000764,0.33943,0
G_good,2903000,4,54,3.030926,1,0,0.002324,2.110533,1
G_good,2903000,4,63,3.530609,0,1,0.001998,0.720381,1
G_good,2903000,5,44,3.845369,1,0,0.000738,0.481575,1
G_good,2903000,5,61,4.155445,0,1,0.001194,0.231672,0
G_good,2903000,6,29,3.074408,1,0,0.0,1.959191,1
G_good,2903000,6,48,3.777465,0,1,0.0,0.461715,1
G_good,2903000,7,11,2.982475,1,0,0.0,2.315633,1
G_good,2903000,7,15,4.079649,0,1,3.4e-05,0.266521,0
G_good,2903000,8,42,3.405346,0,1,0.0,0.908257,1
G_good,2903000,8,43,3.560865,1,0,0.001079,0.807273,1
G_good,2903000,9,10,3.635204,1,0,0.000452,0.706098,1
G_good,2903000,9,47,3.817534,0,1,0.0,0.429274,1
G_good,2903000,10,19,3.323511,0,1,0.0,1.053969,1
G_good,2903000,10,39,3.751476,0,1,0.000169,0.483892,1
G_good,2903000,11,51,3.022813,1,0,0.0,2.151877,1
G_good,2903000,12,41,3.948937,0,1,0.0,0.338045,0
G_good,2903000,13,59,3.524727,0,1,0.0,0.731041,1
G_good,2903000,13,60,4.067866,0,1,0.0,0.272311,0
G_good,2903000,15,20,4.06717,0,1,0.000203,0.272545,0
G_good,2903000,15,58,2.870359,0,1,0.003056,2.387781,1
G_good,2903000,16,51,4.037218,0,1,0.004053,0.285592,0
G_good,2903000,17,21,2.911626,0,1,0.000328,2.227296,1
G_good,2903000,18,24,3.505978,0,1,0.0,0.756392,1
G_good,2903000,18,47,3.849986,1,0,0.0,0.478255,1
G_good,2903000,18,62,3.216517,0,1,0.0,1.280304,1
G_good,2903000,18,63,3.710037,0,1,0.0,0.521935,1
G_good,2903000,19,48,3.898904,0,1,0.001295,0.369281,1
G_good,2903000,19,52,3.757353,1,0,0.002602,0.563047,1
G_good,2903000,19,53,3.363489,1,0,0.001124,1.155673,1
G_good,2903000,20,41,3.02241,0,1,0.0,1.822154,1
G_good,2903000,20,60,3.123324,1,0,0.003015,1.781694,1
G_good,2903000,21,58,3.86257,0,1,0.0,0.395524,1
G_good,2903000,22,35,3.860318,0,1,0.0,0.397146,1
G_good,2903000,22,52,3.606441,0,1,0.0,0.630114,1
G_good,2903000,23,42,3.600903,0,1,0.000168,0.636276,1
G_good,2903000,23,46,3.748894,1,0,0.00189,0.57259,1
G_good,2903000,24,36,3.968858,1,0,0.0,0.385297,1
G_good,2903000,24,49,3.292524,1,0,0.0,1.317791,1
G_good,2903000,24,54,3.609316,0,1,0.00191,0.624439,1
G_good,2903000,24,62,3.590362,1,0,0.000285,0.766336,1
G_good,2903000,25,27,3.474804,1,0,0.001019,0.944121,1
G_good,2903000,25,28,3.078705,0,1,0.0,1.644875,1
