ensemble,seed,E_raw,E_kept_t_gt_tmin,A_3p0_4p2,rho_E_atom,rho_E_vol_angstrom_minus3,R_edge,R_corner,S_GC_t_gt_tmin,z_eff
G_good,2903000,86,68,0.04017857142857143,2.6875,0.014746227709190672,0.3953488372093023,0.6046511627906976,0.6875,2.1661148889236235
G_good,2903001,88,72,0.041666666666666664,2.75,0.015089163237311385,0.3068181818181818,0.6931818181818182,0.90625,2.2435762575954645
G_good,2903002,79,70,0.03521825396825397,2.46875,0.013545953360768175,0.43037974683544306,0.569620253164557,0.84375,2.2523766969169845
G_good,2903003,99,76,0.04513888888888889,3.09375,0.016975308641975308,0.2828282828282828,0.7171717171717171,0.78125,2.744393768770478
G_good,2903004,89,72,0.040674603174603176,2.78125,0.015260631001371741,0.4157303370786517,0.5842696629213483,0.859375,2.4877026733282035
G_good,2903005,91,68,0.042162698412698416,2.84375,0.015603566529492456,0.34065934065934067,0.6593406593406593,0.859375,2.275221451486206
G_good,2903006,84,56,0.04017857142857143,2.625,0.01440329218106996,0.39285714285714285,0.6071428571428571,0.28125,1.7203244523829977
G_good,2903007,81,67,0.03968253968253968,2.53125,0.013888888888888888,0.30864197530864196,0.691358024691358,0.65625,1.9139934112617578
G_good,2903008,83,66,0.04117063492063492,2.59375,0.014231824417009603,0.42168674698795183,0.5783132530120482,0.90625,1.9417499961641265
G_good,2903009,76,58,0.03670634920634921,2.375,0.013031550068587106,0.27631578947368424,0.7236842105263158,0.671875,1.7394351610478307
G_good,2903010,84,60,0.039186507936507936,2.625,0.01440329218106996,0.39285714285714285,0.6071428571428571,0.6875,2.1043102330185812
G_good,2903011,81,68,0.037698412698412696,2.53125,0.013888888888888888,0.4074074074074074,0.5925925925925926,0.578125,2.090567746791437
G_good,2903012,85,64,0.039186507936507936,2.65625,0.014574759945130316,0.3411764705882353,0.6588235294117647,0.8125,2.070906342600121
G_good,2903013,70,57,0.032242063492063495,2.1875,0.012002743484224965,0.32857142857142857,0.6714285714285714,0.28125,2.031826933387265
G_good,2903014,87,67,0.04117063492063492,2.71875,0.014917695473251029,0.3333333333333333,0.6666666666666666,0.78125,2.067719325517809
G_good,2903015,87,70,0.04017857142857143,2.71875,0.014917695473251029,0.367816091954023,0.632183908045977,0.6875,2.290417991921841
G_good,2903016,89,70,0.040674603174603176,2.78125,0.015260631001371741,0.3595505617977528,0.6404494382022472,0.84375,2.404842001016714
G_good,2903017,82,66,0.03521825396825397,2.5625,0.014060356652949246,0.32926829268292684,0.6707317073170732,0.828125,2.530241780868716
G_good,2903018,73,55,0.03373015873015873,2.28125,0.012517146776406037,0.2876712328767123,0.7123287671232876,0.5625,1.815612076925836
G_good,2903019,87,67,0.04117063492063492,2.71875,0.014917695473251029,0.3448275862068966,0.6551724137931034,0.71875,2.153585100761616
G_good,2903020,82,65,0.039186507936507936,2.5625,0.014060356652949246,0.35365853658536583,0.6463414634146342,0.578125,2.183858804032337
G_good,2903021,81,64,0.034722222222222224,2.53125,0.013888888888888888,0.37037037037037035,0.6296296296296297,0.75,2.300351549359555
G_good,2903022,81,65,0.03720238095238095,2.53125,0.013888888888888888,0.3333333333333333,0.6666666666666666,0.84375,2.006598350329546
G_good,2903023,86,62,0.03869047619047619,2.6875,0.014746227709190672,0.3372093023255814,0.6627906976744186,0.734375,2.3044650803472595
G_good,2903024,77,63,0.03521825396825397,2.40625,0.013203017832647462,0.2597402597402597,0.7402597402597403,0.765625,2.1135872642564983
G_good,2903025,88,67,0.03968253968253968,2.75,0.015089163237311385,0.3409090909090909,0.6590909090909091,0.859375,2.3529195011345854
G_good,2903026,90,79,0.03968253968253968,2.8125,0.015432098765432098,0.35555555555555557,0.6444444444444445,0.9375,2.74303286097507
G_good,2903027,75,55,0.03521825396825397,2.34375,0.01286008230452675,0.4266666666666667,0.5733333333333334,0.375,1.6304065699097168
G_good,2903028,80,64,0.03521825396825397,2.5,0.013717421124828532,0.3625,0.6375,0.53125,2.3786258377515783
G_good,2903029,86,68,0.041666666666666664,2.6875,0.014746227709190672,0.36046511627906974,0.6395348837209303,0.875,2.276161173704828
G_good,2903030,83,71,0.039186507936507936,2.59375,0.014231824417009603,0.30120481927710846,0.6987951807228916,0.765625,2.1842399737909015
G_good,2903031,93,69,0.044642857142857144,2.90625,0.01594650205761317,0.34408602150537637,0.6559139784946236,0.890625,2.2242158808458377
BD_borderline,2904000,67,47,0.03422619047619048,2.09375,0.011488340192043896,0.2537313432835821,0.746268656716418,0.25,1.795061727317555
BD_borderline,2904001,62,46,0.03968253968253968,1.9375,0.010631001371742112,0.24193548387096775,0.7580645161290323,0.34375,1.747420009689454
BD_borderline,2904002,67,51,0.03670634920634921,2.09375,0.011488340192043896,0.19402985074626866,0.8059701492537313,0.21875,1.9812250360544073
BD_borderline,2904003,70,58,0.03670634920634921,2.1875,0.012002743484224965,0.2857142857142857,0.7142857142857143,0.578125,2.153515201453119
BD_borderline,2904004,61,47,0.03273809523809524,1.90625,0.010459533607681756,0.2459016393442623,0.7540983606557377,0.296875,1.958487517440157
BD_borderline,2904005,79,56,0.04563492063492063,2.46875,0.013545953360768175,0.2911392405063291,0.7088607594936709,0.75,2.0188499693635293
BD_borderline,2904006,67,52,0.03968253968253968,2.09375,0.011488340192043896,0.2537313432835821,0.746268656716418,0.5,2.0834546510380068
BD_borderline,2904007,56,36,0.03670634920634921,1.75,0.009602194787379973,0.23214285714285715,0.7678571428571429,0.25,1.1879484010504857
BD_borderline,2904008,55,46,0.03273809523809524,1.71875,0.009430727023319615,0.18181818181818182,0.8181818181818182,0.171875,1.8492559078147428
BD_borderline,2904009,71,53,0.04117063492063492,2.21875,0.012174211248285322,0.2676056338028169,0.7323943661971831,0.265625,1.85399203959914
BD_borderline,2904010,72,59,0.041666666666666664,2.25,0.012345679012345678,0.3055555555555556,0.6944444444444444,0.703125,2.21321864614076
BD_borderline,2904011,62,48,0.037698412698412696,1.9375,0.010631001371742112,0.24193548387096775,0.7580645161290323,0.421875,1.6807127658659267
BD_borderline,2904012,74,53,0.039186507936507936,2.3125,0.012688614540466393,0.2702702702702703,0.7297297297297297,0.40625,2.225467072169368
