family,seed,N,edge_count,S_overlap_rescaled,onsite_sigma,edge_density,lambda2_norm,spectral_radius_norm,damage_target_rel_loss,damage_random_rel_loss,attack_gap,Y_A_null,Y_B_positive
ws_smallworld,1001,64,160,1.000000,0.190000,0.079365,0.156424,1.000000,0.434934,0.154454,0.280480,0.600741,0.728041
ws_smallworld,1002,64,160,1.000000,0.200000,0.079365,0.170518,1.000000,0.263140,0.174651,0.088489,0.621397,0.879660
ws_smallworld,1003,64,160,1.000000,0.180000,0.079365,0.191946,1.000000,0.361723,0.136939,0.224784,0.601115,0.822987
ws_smallworld,1004,64,160,1.000000,0.190000,0.079365,0.121499,1.000000,0.361584,0.091030,0.270553,0.619298,0.689192
ws_smallworld,1005,64,160,1.000000,0.200000,0.079365,0.143461,1.000000,0.189974,0.146280,0.043693,0.590392,0.824591
ws_smallworld,1006,64,160,1.000000,0.180000,0.079365,0.151478,1.000000,0.324035,0.082596,0.241439,0.641728,0.781596
sbm_bridge,1001,64,160,1.000000,0.190000,0.079365,0.131951,1.000000,1.000000,0.171529,0.828471,0.600741,0.382593
sbm_bridge,1002,64,160,1.000000,0.200000,0.079365,0.241369,1.000000,1.000000,0.344056,0.655944,0.621397,0.695092
sbm_bridge,1003,64,160,1.000000,0.180000,0.079365,0.183739,1.000000,1.000000,0.637453,0.362547,0.601115,0.732445
sbm_bridge,1004,64,160,1.000000,0.190000,0.079365,0.168180,1.000000,0.275374,0.451965,-0.176591,0.619298,1.019148
sbm_bridge,1005,64,160,1.000000,0.200000,0.079365,0.179938,1.000000,0.343970,0.175661,0.168309,0.590392,0.821712
sbm_bridge,1006,64,160,1.000000,0.180000,0.079365,0.187611,1.000000,0.225531,0.337575,-0.112044,0.641728,1.041052
geo_matched,1001,64,160,1.000000,0.190000,0.079365,0.005772,1.000000,1.000000,0.664845,0.335155,0.600741,0.426794
geo_matched,1002,64,160,1.000000,0.200000,0.079365,0.011950,1.000000,1.000000,0.342652,0.657348,0.621397,0.281366
geo_matched,1003,64,160,1.000000,0.180000,0.079365,0.014952,1.000000,1.000000,0.610181,0.389819,0.601115,0.413628
geo_matched,1004,64,160,1.000000,0.190000,0.079365,0.045558,1.000000,1.000000,0.434731,0.565269,0.619298,0.390405
geo_matched,1005,64,160,1.000000,0.200000,0.079365,0.017847,1.000000,1.000000,0.629356,0.370644,0.590392,0.418663
geo_matched,1006,64,160,1.000000,0.180000,0.079365,0.007647,1.000000,1.000000,0.614425,0.385575,0.641728,0.443426
rewired_control,1001,64,160,1.000000,0.190000,0.079365,0.215058,1.000000,0.250137,0.150568,0.099569,0.600741,0.933082
rewired_control,1002,64,160,1.000000,0.200000,0.079365,0.232857,1.000000,0.248624,0.132743,0.115881,0.621397,0.976805
rewired_control,1003,64,160,1.000000,0.180000,0.079365,0.232286,1.000000,0.243504,0.245068,-0.001564,0.601115,1.020091
rewired_control,1004,64,160,1.000000,0.190000,0.079365,0.231548,1.000000,0.279179,0.198781,0.080398,0.619298,0.991866
rewired_control,1005,64,160,1.000000,0.200000,0.079365,0.236839,1.000000,0.326307,0.176699,0.149608,0.590392,0.934418
rewired_control,1006,64,160,1.000000,0.180000,0.079365,0.214033,1.000000,0.253365,0.200112,0.053253,0.641728,0.997699
