mass_kg,gamma_thermal_1mK_s^-1,gamma_planck_energy_s^-1
1e-30,1.9437253457435825e-144,4.321003109134188e-05
1.1937766417144357e-30,2.770008180554794e-144,6.15787306921468e-05
1.4251026703029963e-30,3.9475460548697814e-144,8.775601354324749e-05
1.701254279852586e-30,5.625658423938985e-144,0.0001250613292356279
2.0309176209047306e-30,8.017140842167993e-144,0.00017822523424533549
2.424462017082321e-30,1.1425248822368818e-143,0.00025398925723840466
2.89426612471674e-30,1.6282152605633969e-143,0.00036196076871872516
3.4551072945922325e-30,2.3203739156570233e-143,0.0005158312580459889
4.124626382901365e-30,3.3067710633042443e-143,0.0007351125032670927
4.923882631706752e-30,4.712488272395557e-143,0.001047610791379054
5.878016072274924e-30,6.715779620762462e-143,0.0014929529362325245
7.017038286703836e-30,9.570675470715025e-143,0.00212761121606167
8.376776400682924e-30,1.363919516991937e-142,0.003032064425376091
1e-29,1.9437253457435828e-142,0.004321003109134187
1.1937766417144358e-29,2.7700081805547948e-142,0.00615787306921468
1.4251026703029962e-29,3.947546054869782e-142,0.008775601354324748
1.7012542798525858e-29,5.625658423938985e-142,0.012506132923562794
2.0309176209047306e-29,8.017140842167992e-142,0.01782252342453355
2.424462017082321e-29,1.1425248822368819e-141,0.025398925723840463
2.89426612471674e-29,1.6282152605633972e-141,0.03619607687187251
3.4551072945922326e-29,2.3203739156570238e-141,0.05158312580459889
4.1246263829013646e-29,3.3067710633042436e-141,0.07351125032670926
4.923882631706752e-29,4.712488272395557e-141,0.1047610791379054
5.878016072274924e-29,6.715779620762461e-141,0.14929529362325253
7.017038286703837e-29,9.570675470715028e-141,0.21276112160616706
8.376776400682924e-29,1.3639195169919372e-140,0.30320644253760914
1e-28,1.9437253457435827e-140,0.43210031091341883
1.1937766417144357e-28,2.770008180554794e-140,0.615787306921468
1.4251026703029963e-28,3.9475460548697827e-140,0.8775601354324749
1.7012542798525858e-28,5.625658423938984e-140,1.2506132923562792
2.0309176209047307e-28,8.017140842167993e-140,1.782252342453355
2.424462017082321e-28,1.1425248822368821e-139,2.5398925723840473
2.89426612471674e-28,1.6282152605633965e-139,3.619607687187251
3.4551072945922325e-28,2.3203739156570235e-139,5.158312580459889
4.124626382901365e-28,3.306771063304244e-139,7.351125032670927
4.923882631706752e-28,4.712488272395558e-139,10.47610791379054
5.878016072274924e-28,6.715779620762461e-139,14.92952936232525
7.017038286703837e-28,9.570675470715027e-139,21.276112160616698
8.376776400682924e-28,1.3639195169919372e-138,30.32064425376091
1e-27,1.9437253457435827e-138,43.21003109134188
1.1937766417144358e-27,2.770008180554794e-138,61.57873069214681
1.4251026703029964e-27,3.947546054869782e-138,87.75601354324748
1.7012542798525857e-27,5.625658423938984e-138,125.06132923562791
2.0309176209047306e-27,8.017140842167991e-138,178.22523424533549
2.4244620170823407e-27,1.1425248822369005e-137,253.9892572384088
2.89426612471674e-27,1.628215260563397e-137,361.96076871872515
3.455107294592232e-27,2.3203739156570235e-137,515.8312580459888
4.1246263829013645e-27,3.306771063304243e-137,735.1125032670925
4.923882631706752e-27,4.712488272395557e-137,1047.610791379054
5.878016072274924e-27,6.715779620762464e-137,1492.952936232525
7.017038286703836e-27,9.570675470715027e-137,2127.61121606167
8.376776400682925e-27,1.363919516991937e-136,3032.0644253760915
1e-26,1.943725345743582e-136,4321.003109134188
1.1937766417144358e-26,2.7700081805547946e-136,6157.873069214681
1.4251026703029964e-26,3.947546054869782e-136,8775.60135432475
1.7012542798525856e-26,5.625658423938984e-136,12506.132923562787
2.0309176209047306e-26,8.017140842167992e-136,17822.52342453355
2.4244620170823406e-26,1.1425248822369006e-135,25398.925723840875
2.89426612471674e-26,1.6282152605633967e-135,36196.07687187251
3.4551072945922326e-26,2.320373915657024e-135,51583.125804598894
4.1246263829013646e-26,3.3067710633042444e-135,73511.25032670927
4.923882631706752e-26,4.712488272395558e-135,104761.0791379054
5.878016072274924e-26,6.715779620762463e-135,149295.2936232525
