N,D,topology,trial,M,steps,rho_D_final,mm_ratio,mm_se,mm_dimension,dist_to_gamma4,eta,alignment_mean,alignment_se
1000,2,random_regular,0,951,51,0.951,0.41969781455127997,0.005249083440539038,2,0.21869781455127996,1.0,0.11921283150583624,0.010437565605569219
1000,2,random_regular,1,964,51,0.964,0.41954373939686596,0.005261993033258277,2,0.21854373939686594,1.0,0.19128195310378698,0.00986436414282049
1000,2,random_regular,2,955,52,0.955,0.4175577526267457,0.005328514567215129,2,0.2165577526267457,1.0,0.22929130631008385,0.010176327187305842
1000,2,random_regular,3,950,62,0.95,0.4211672413419209,0.0052187145497378925,2,0.2201672413419209,1.0,0.4094522486935275,0.008917472081211367
1000,2,random_regular,4,951,52,0.951,0.4207723237829766,0.005228878134971988,2,0.21977232378297656,1.0,0.0897025193456666,0.010770116247698767
1000,2,random_regular,0,963,28,0.963,0.35323162285659704,0.006640391034278508,3,0.15223162285659703,1.0,0.5641448199788884,0.008220999862712393
1000,2,random_regular,1,958,34,0.958,0.35888814415998244,0.0065251940774924844,3,0.15788814415998242,1.0,0.6549267990111626,0.007647526093477789
1000,2,random_regular,2,964,34,0.964,0.3489658413042266,0.006700738633835122,3,0.14796584130422658,1.0,0.18491280446766126,0.011042865382258902
1000,2,random_regular,3,953,32,0.953,0.3477725351808995,0.006727891487426154,3,0.1467725351808995,1.0,0.15807233191653103,0.012510437995025018
1000,2,random_regular,4,959,30,0.959,0.35710437221996344,0.006584173684301281,3,0.15610437221996343,1.0,0.3530219864814702,0.009551803709284013
1000,2,random_regular,0,958,48,0.958,0.4228106288640642,0.005191507192383541,2,0.22181062886406416,1.0,0.08181639630911759,0.010520063926743838
1000,2,random_regular,1,957,52,0.957,0.4204932666164478,0.005242419783109253,2,0.2194932666164478,1.0,0.056881392413571756,0.010270580447778498
1000,2,random_regular,2,957,52,0.957,0.4203574867592301,0.0052471600440823765,2,0.2193574867592301,1.0,0.06832727339570177,0.011418554784452068
1000,2,random_regular,3,952,47,0.952,0.423085744024431,0.005177888606631095,2,0.222085744024431,1.0,0.2278635424641704,0.009465958047868123
