L,N,rho,boundary,freeze,T_LR,T_RL,DeltaT,nu_Q
4,1,0.25,OBC,hard,0.000367499549791539,-0.0003674995499025613,0.0007349990996941003,1
4,1,0.25,OBC,dephase,0.00017999984702754546,-0.0003674995499025613,0.0005474993969301067,1
4,1,0.25,OBC,clamped,0.0005474994004828204,-0.0002756246462176648,0.0008231240467004852,1
4,1,0.25,PBC,hard,0.000367499549791539,-0.0003674995499025613,0.0007349990996941003,1
4,1,0.25,PBC,dephase,0.0002624998201028461,-0.0003674995499025613,0.0006299993700054074,1
4,1,0.25,PBC,clamped,0.0007831242236910896,0.0003368744834197912,0.0004462497402712984,1
4,2,0.5,OBC,hard,0.0014412463859025948,0.0007062482285657978,0.000734998157336797,1
4,2,0.5,OBC,dephase,0.0010568724769788318,0.000633123630633392,0.00042374884634543974,1
4,2,0.5,OBC,clamped,0.0012198400397567255,0.0007304669027430322,0.0004893731370136933,1
4,2,0.5,PBC,hard,0.0014412463859025948,0.0007062482285657978,0.000734998157336797,1
4,2,0.5,PBC,dephase,0.000826247965268756,0.00046624910376991124,0.00035999886149884475,1
4,2,0.5,PBC,clamped,0.00036031143479942074,0.0003940616299935584,-3.375019519413769e-05,-1
4,3,0.75,OBC,hard,5.2499982583498195e-05,-5.249998236145359e-05,0.00010499996494495178,1
4,3,0.75,OBC,dephase,1.6399997804228406e-05,-1.7899997706294357e-05,3.429999551052276e-05,1
4,3,0.75,OBC,clamped,0.00010127495420064747,2.8299991239322253e-05,7.297496296132522e-05,1
4,3,0.75,PBC,hard,5.2499982583498195e-05,-5.249998236145359e-05,0.00010499996494495178,1
4,3,0.75,PBC,dephase,-1.0499998204238636e-05,-1.0499997760149427e-05,-4.440892098500626e-13,0
4,3,0.75,PBC,clamped,0.0001527749455831895,3.202498910503948e-05,0.00012074995647815001,1
6,1,0.16666666666666666,OBC,hard,0.0004899988796935872,-0.0004899988796935872,0.0009799977593871745,1
6,1,0.16666666666666666,OBC,dephase,0.00023999951115349916,-0.0004899988796935872,0.0007299983908470864,1
6,1,0.16666666666666666,OBC,clamped,0.0005666654201430532,-0.0004083323821291174,0.0009749978022721706,1
6,1,0.16666666666666666,PBC,hard,0.0004899988796935872,-0.0004899988796935872,0.0009799977593871745,1
6,1,0.16666666666666666,PBC,dephase,0.00034999932552182145,-0.0004899988796935872,0.0008399982052154087,1
6,1,0.16666666666666666,PBC,clamped,0.00083999821010039,0.0002449993892206237,0.0005949988208797663,1
6,2,0.3333333333333333,OBC,hard,0.003050394120407418,0.0019503991839364687,0.0010999949364709494,1
6,2,0.3333333333333333,OBC,dephase,0.0028860086349613567,0.0018792774887366193,0.0010067311462247375,1
6,2,0.3333333333333333,OBC,clamped,0.0030245170761222795,0.001761002826228264,0.0012635142498940155,1
6,2,0.3333333333333333,PBC,hard,0.003050394120407418,0.0019503991839364687,0.0010999949364709494,1
6,2,0.3333333333333333,PBC,dephase,0.0029310094773471462,0.0016624419818533909,0.0012685674954937554,1
6,2,0.3333333333333333,PBC,clamped,0.0025837478769830113,0.0013416095909768444,0.001242138286006167,1
6,3,0.5,OBC,hard,0.0013944362400319932,0.0003833310806555801,0.001011105159376413,1
6,3,0.5,OBC,dephase,0.0010449945400115013,0.00034166482043573865,0.0007033297195757626,1
6,3,0.5,OBC,clamped,0.0016205453376993972,0.0007525878422676158,0.0008679574954317815,1
