c2_center,QCMI_min,n_points
0.25760778,2.21513943,6
0.29994212,2.53414973,10
0.34227647,2.48231714,19
0.38461081,2.36176813,16
0.42694515,2.50720012,23
0.46927950,2.64053991,24
0.51161384,2.66088304,34
0.55394818,2.73251567,37
0.59628253,2.54632925,50
0.63861687,2.73106760,44
0.68095121,3.03466999,49
0.72328555,2.65778622,37
0.76561990,2.83388096,32
0.80795424,2.66997095,31
0.85028858,2.77753195,28
0.89262293,2.59453060,13
0.93495727,2.92842480,18
0.97729161,2.68053931,8
1.01962596,2.98293288,8
1.06196030,3.10892953,5
