p,target_idx,target_c2,QCMI_mean,QCMI_std,n_samples
0.500,0,0.64226315,3.40206737,0.16477083,30
0.500,1,0.83015195,3.34663728,0.15402621,30
0.500,2,1.01804075,3.13064358,0.31626966,30
0.600,0,0.64226315,3.37593492,0.16313187,30
0.600,1,0.83015195,3.31907800,0.14914452,30
0.600,2,1.01804075,3.10424949,0.31686990,30
0.700,0,0.64226315,3.28703268,0.15742745,30
0.700,1,0.83015195,3.23542172,0.14414409,30
0.700,2,1.01804075,3.02679436,0.31894665,30
0.800,0,0.64226315,3.12231151,0.15199447,30
0.800,1,0.83015195,3.08518728,0.14187403,30
0.800,2,1.01804075,2.88974734,0.32696684,30
0.900,0,0.64226315,2.84758015,0.15795081,30
0.900,1,0.83015195,2.83965423,0.15184065,30
0.900,2,1.01804075,2.66997639,0.35045623,30
