c2,QCMI,SR
0.95696755,3.03217010,2.00000000
0.40870084,3.12517950,2.00000000
0.74587388,3.31935933,2.00000000
0.59712074,3.22228890,2.00000000
0.70624547,3.09916806,2.00000000
0.42052408,3.00831265,2.00000000
0.60016800,2.79904666,2.00000000
0.37415284,2.91332804,2.00000000
0.53811085,2.87998630,2.00000000
0.55441692,2.98719190,2.00000000
0.40570907,3.24864941,2.00000000
0.70964886,3.30564560,2.00000000
0.80112641,2.66997095,2.00000000
0.65918205,3.32848914,2.00000000
0.65207739,3.18997822,2.00000000
0.54138184,3.17144950,2.00000000
0.52175366,3.49080269,2.00000000
0.96582262,2.68053931,2.00000000
0.95400694,3.29539956,2.00000000
0.50471919,3.36130975,2.00000000
0.38269114,3.33513667,2.00000000
0.51683647,3.00020600,2.00000000
0.79020727,3.32562905,2.00000000
0.57674371,3.32157037,2.00000000
0.52530588,3.24930183,2.00000000
0.58098913,3.30825068,2.00000000
0.65248826,3.34117057,2.00000000
0.53213543,3.22542298,2.00000000
0.43328058,3.39596576,2.00000000
0.41723805,3.14824309,2.00000000
0.58682665,3.43889076,2.00000000
0.80972050,3.42241844,2.00000000
0.86017738,2.99996495,2.00000000
0.82046597,3.36866414,2.00000000
0.50528182,3.19461595,2.00000000
0.51929820,2.66088304,2.00000000
0.86777115,3.39022974,2.00000000
0.39770267,2.96635843,2.00000000
0.65513127,3.21006944,2.00000000
0.93601213,3.39085333,2.00000000
0.59942741,3.27076761,2.00000000
0.63579407,3.25800805,2.00000000
0.86594570,3.21572220,2.00000000
0.47410440,3.13168679,2.00000000
0.65714425,3.21094411,2.00000000
0.41132393,2.50720012,2.00000000
0.70089319,3.41149668,2.00000000
0.75918169,3.44169046,2.00000000
0.41267745,3.04625925,2.00000000
0.43065788,3.14154876,2.00000000
0.53691705,3.13147751,2.00000000
0.79952398,3.36705613,2.00000000
1.01857487,3.32242897,2.00000000
0.86803353,3.06496598,2.00000000
0.54728730,3.00506536,2.00000000
0.40449111,3.08834425,2.00000000
0.67707370,3.22122075,2.00000000
0.72644882,3.34151503,2.00000000
0.94379545,3.24267417,2.00000000
0.60870322,3.41272572,2.00000000
0.83082369,3.29126495,2.00000000
0.93912726,2.92842480,2.00000000
0.80877695,3.32247425,2.00000000
0.68579495,3.26602631,2.00000000
0.57189764,2.73251567,2.00000000
0.26133268,2.72523250,2.00000000
0.68836946,3.30599691,2.00000000
0.70285942,3.38058893,2.00000000
0.79963015,3.04249809,2.00000000
0.78095703,3.41823733,2.00000000
0.68218441,3.21733374,2.00000000
0.42526483,3.04715140,2.00000000
0.91857865,3.18444726,2.00000000
0.58413483,3.34961332,2.00000000
0.54257898,3.09089588,2.00000000
0.77822149,3.47749603,2.00000000
0.50652664,2.97692574,2.00000000
0.55904488,3.30046264,2.00000000
0.23966318,2.55382558,2.00000000
0.73028590,3.16185407,2.00000000
0.88400253,3.31389579,2.00000000
0.86911091,3.35993156,2.00000000
0.40600631,3.11814924,2.00000000
0.80870629,3.11173352,2.00000000
0.77527968,3.38383931,2.00000000
0.61215825,3.22954401,2.00000000
0.82792588,3.02094034,2.00000000
0.54926892,3.20301744,2.00000000
0.89670409,3.59676377,2.00000000
0.48026246,3.18123119,2.00000000
0.62997581,3.29522921,2.00000000
0.34435033,2.79519768,2.00000000
0.43479988,2.82909960,2.00000000
0.85890321,3.15946574,2.00000000
0.47041362,3.15896434,2.00000000
0.60118753,2.54632925,2.00000000
0.55333777,3.20320291,2.00000000
1.02812479,3.02104719,2.00000000
0.72833759,3.29795908,2.00000000
1.11055998,3.11789803,2.00000000
0.32964651,3.19178172,2.00000000
0.93635624,3.37197569,2.00000000
0.63415536,3.23523683,2.00000000
0.62577806,3.24412964,2.00000000
0.26489382,2.69690017,2.00000000
0.49728602,3.23371611,2.00000000
0.54719152,3.29630300,2.00000000
0.53241386,3.26613562,2.00000000
0.86101380,3.14442010,2.00000000
0.31894655,2.83772770,2.00000000
0.46184689,2.64053991,2.00000000
0.66905830,3.27018563,2.00000000
0.78698736,3.35775205,2.00000000
0.77838727,3.13550837,2.00000000
0.30868288,3.22417257,2.00000000
0.57485772,3.32445269,2.00000000
0.49571501,3.26093876,2.00000000
0.66404733,3.40531758,2.00000000
0.84424647,3.36894386,2.00000000
0.61233071,3.28165836,2.00000000
0.61402304,3.39978456,2.00000000
0.84474632,3.29762282,2.00000000
0.56752755,3.21175784,2.00000000
0.57933382,3.35178550,2.00000000
0.74552112,3.23969202,2.00000000
0.28505273,2.72564502,2.00000000
0.64769363,3.38290854,2.00000000
0.56792327,3.11641296,2.00000000
0.77813168,2.83388096,2.00000000
0.62069115,3.22546220,2.00000000
0.57878963,3.34801143,2.00000000
0.50062350,2.97048109,2.00000000
0.67871583,3.36816098,2.00000000
0.69973407,3.43819478,2.00000000
0.86519746,3.34553525,2.00000000
0.90874128,3.17418687,2.00000000
0.48889376,3.24618561,2.00000000
1.03125863,3.10334534,2.00000000
0.60193492,3.16041592,2.00000000
0.72225540,3.22148452,2.00000000
0.50810662,3.47930185,2.00000000
0.80507831,3.52677517,2.00000000
0.70595389,3.31701578,2.00000000
0.74659837,3.25994275,2.00000000
0.66969864,3.47355836,2.00000000
0.69811361,3.40258466,2.00000000
0.67343732,3.21076142,2.00000000
0.65063373,3.34521241,2.00000000
0.50011438,3.19140877,2.00000000
0.73975169,3.39499776,2.00000000
0.48891282,3.02095287,2.00000000
0.60949707,3.07465367,2.00000000
0.52407566,3.03592877,2.00000000
0.58591302,3.36989279,2.00000000
0.63955010,3.34559785,2.00000000
0.80410993,3.22342332,2.00000000
0.74859617,3.32403034,2.00000000
0.90919903,2.76339834,2.00000000
0.73523424,3.29673572,2.00000000
0.76897733,3.27670606,2.00000000
0.67226257,3.38060937,2.00000000
0.84180151,3.36586419,2.00000000
0.85321402,3.38751514,2.00000000
0.42319963,2.60057455,2.00000000
0.72750721,3.39409027,2.00000000
0.68028342,3.28176026,2.00000000
0.95453534,3.65671720,2.00000000
0.32883354,2.94578875,2.00000000
0.53611166,3.32468399,2.00000000
0.86988704,3.12935710,2.00000000
0.66285785,3.18644073,2.00000000
0.60466436,3.26681498,2.00000000
0.36787084,2.91924378,2.00000000
0.61818976,3.23195927,2.00000000
0.66626109,3.35278154,2.00000000
0.36004863,2.96048937,2.00000000
0.46920040,3.09674003,2.00000000
0.66335018,3.03466999,2.00000000
0.92597480,3.23045224,2.00000000
0.74853607,3.05605949,2.00000000
0.60736547,3.10283111,2.00000000
0.69147136,3.09771611,2.00000000
0.48297193,3.02994416,2.00000000
0.68094085,3.21968236,2.00000000
0.80770363,3.50332670,2.00000000
0.81233723,3.27528926,2.00000000
0.86295600,2.89523246,2.00000000
0.55108225,3.34838168,2.00000000
0.73548778,2.65778622,2.00000000
0.67031875,3.11947131,2.00000000
0.74866241,3.38907240,2.00000000
0.69193967,3.19658778,2.00000000
0.82296490,2.70675356,2.00000000
0.66256900,3.39809047,2.00000000
0.74351284,3.37502986,2.00000000
0.46251580,3.18032754,2.00000000
0.70270335,3.37570443,2.00000000
0.34145647,2.76781536,2.00000000
0.59794601,3.25916897,2.00000000
0.89519071,2.59453060,2.00000000
1.05111647,3.17091762,2.00000000
0.62735449,3.02499212,2.00000000
0.45428545,2.93679865,2.00000000
0.32205876,3.13549389,2.00000000
0.47896022,3.01587540,2.00000000
0.74675281,3.44353333,2.00000000
0.57274215,3.26176462,2.00000000
0.83548151,3.42276740,2.00000000
0.53223808,3.29446027,2.00000000
0.78099237,3.39933653,2.00000000
0.62117834,2.85737696,2.00000000
0.49009237,3.39358287,2.00000000
0.25195833,3.25109481,2.00000000
0.65400431,3.21371592,2.00000000
0.59608872,3.29716632,2.00000000
0.36621138,3.48520211,2.00000000
0.77202609,3.35166533,2.00000000
0.49096600,3.25611662,2.00000000
0.93578519,3.33857143,2.00000000
0.66757934,3.16706659,2.00000000
0.58270063,3.43492783,2.00000000
0.93686755,3.35314872,2.00000000
1.14657515,2.76662117,2.00000000
0.61353870,3.18781877,2.00000000
0.58983481,3.24794060,2.00000000
0.32288643,3.36121888,2.00000000
0.25839332,2.55376768,2.00000000
0.56626551,3.35554596,2.00000000
0.49415357,3.16566380,2.00000000
0.72521748,3.35474310,2.00000000
0.81571397,3.05718664,2.00000000
0.56662576,3.34163494,2.00000000
0.51441411,3.16861280,2.00000000
0.61058172,3.37853242,2.00000000
0.22981460,2.48862511,2.00000000
0.36034849,3.39033907,2.00000000
0.39371156,2.68327994,2.00000000
0.73585116,3.44701709,2.00000000
0.73237651,3.31396842,2.00000000
0.93760254,2.97073415,2.00000000
0.44690670,3.06208600,2.00000000
0.56297845,3.11077962,2.00000000
0.69678908,3.27156762,2.00000000
1.03882046,3.28777049,2.00000000
1.03271377,2.98293288,2.00000000
0.82330488,3.26184389,2.00000000
0.28640141,2.82767471,2.00000000
1.11647931,2.94762909,2.00000000
0.55756966,2.87039405,2.00000000
0.42659826,2.79252851,2.00000000
0.51954588,3.39090892,2.00000000
0.55253238,3.11650989,2.00000000
0.45494026,3.25143802,2.00000000
0.61356516,3.14294138,2.00000000
0.66768094,3.17120402,2.00000000
0.65171695,3.58457420,2.00000000
0.69024758,3.04945589,2.00000000
0.40150064,3.24037068,2.00000000
0.83437032,3.18096152,2.00000000
0.68174803,3.29245105,2.00000000
0.51568867,3.28896952,2.00000000
0.57042619,3.23053742,2.00000000
1.04625357,3.53372117,2.00000000
0.63570980,3.34463066,2.00000000
0.94565751,3.32554063,2.00000000
